school_name,district_name,city,state,admin_approved
Mervyn M. Dymally High,Los Angeles Unified,Los Angeles,CA,true
Gentry High School,Gentry School District,Gentry,AR,true
Johnson Middle,Fairfax County Public Schools,Fairfax,VA,false
Daylight/Twilight High School,Trenton Public School District,Trenton,NJ,true
Bell Senior High,Los Angeles Unified,Bell,CA,true
Mcfatter Technical College,Broward,Davie,FL,false
Liberty H S,Liberty Isd,Liberty,TX,true
Rooted School Indianapolis,Rooted School Indianapolis,Indianapolis,IN,false
East High,Wichita,Wichita,KS,true
Liberty High,Golden Valley Unified,Madera,CA,false
Heritage High,Wake County Schools,Wake Forest,NC,false
Erie HS,Erie City SD,Erie,PA,true
St James Catholic School,,Gadsden,AL,false
Holy Spirit Catholic School,,Tuscaloosa,AL,false
Holy Family Parochial School,,Huntsville,AL,false
Sierra Vista High,Baldwin Park Unified,Baldwin Park,CA,true
William J. (Pete) Knight High,Antelope Valley Union High,Palmdale,CA,true
Rosa L Parks Middle School,W Harvey-Dixmoor PSD 147,Dixmoor,IL,false
Rosa Parks Elementary School,Perry Township Schools,Indianapolis,IN,false
Rosa Parks Kindergarten,Perry Township Schools,Indianapolis,IN,false
Fairforest Middle,Spartanburg 06,Spartanburg,SC,true
Fairley High School,Achievement School District,Memphis,TN,true
Hastings H S,Alief Isd,Houston,TX,true
Holy Spirit Regional Catholic School,,Huntsville,AL,false
Our Lady of Sorrows,,Birmingham,AL,false
St Ann School,,Decatur,AL,false
Sacred Heart Elementary,,Cullman,AL,false
St Rose of Lima School,,Birmingham,AL,false
St Francis Xavier School,,Birmingham,AL,false
John Carroll Catholic High School,,Birmingham,AL,false
Holy Family Cristo Rey Catholic High School,,Birmingham,AL,false
Sacred Heart Catholic School,,Anniston,AL,false
St Pius X School,,Mobile,AL,false
St Mary Catholic School,,Mobile,AL,false
St Ignatius Catholic School,,Mobile,AL,false
St Dominic Catholic School,,Mobile,AL,false
Most Pure Heart of Mary Catholic School,,Mobile,AL,false
Little Flower Catholic School,,Mobile,AL,false
St Benedict Catholic School,,Elberta,AL,false
Christ the King Catholic School,,Daphne,AL,false
Denison Public School,Denison,Idabel,OK,true
Dennis,Springboro Community City,Springboro,OH,false
Dennis Es,Putnam City,Oklahoma City,OK,false
East MS,Erie City SD,Erie,PA,true
Downey High,Downey Unified,Downey,CA,false
Montgomery Catholic Preparatory School,,Montgomery,AL,false
Farley Middle,Hutto Isd,Hutto,TX,false
St. Lucie West Centennial High,St. Lucie,Port St Lucie,FL,false
Mary McLeod Bethune Middle,Los Angeles Unified,Los Angeles,CA,true
Fairhaven School,Spec Educ Dist Lake County/Sedol,Mundelein,IL,false
Rosa Taylor Elementary School,Bibb County,Macon,GA,false
Wentworth Intermediate School,Calumet City SD 155,Calumet City,IL,false
Wentworth Jr High School,Calumet City SD 155,Calumet City,IL,false
Wes-Del Elementary School,Wes-Del Community Schools,Gaston,IN,false
Wes-Del Middle/Senior High School,Wes-Del Community Schools,Gaston,IN,true
Fairgrounds Middle School,Nashua School District,Nashua,NH,false
Dentzler Elementary School,Parma City,Parma,OH,false
Denver El Sch,Cocalico SD,Denver,PA,false
Denver Place Elementary School,Wilmington City,Wilmington,OH,false
Depew Es,Depew,Depew,OK,true
Devers Sch,York City SD,York,PA,true
Devon El Sch,Tredyffrin-Easttown SD,Devon,PA,false
Hudson H S,Hudson Isd,Lufkin,TX,true
Fairhaven Middle School,Bellingham School District,Bellingham,WA,false
Advent Episcopal Day School,,Birmingham,AL,false
Huntsville College Preparatory School,,Huntsville,AL,false
John T Morgan Academy,,Selma,AL,false
Jefferson Christian Academy,,Irondale,AL,false
Evangel Christian School,,Saraland,AL,false
Glenwood School,,Smiths Station,AL,false
Mars Hill Bible School,,Florence,AL,false
Lowndes Academy,,Lowndesboro,AL,false
Abbeville Christian Academy,,Abbeville,AL,false
Grace Lutheran School,,Huntsville,AL,false
St Pauls Lutheran School,,Cullman,AL,false
Desert Sky Montessori,Bend-LaPine Administrative SD 1,Bend,OR,false
Mary Meredith K-12 School,Tucson Unified District (4403),Tucson,AZ,true
Roscoe Middle School,Kinnikinnick CCSD 131,Roscoe,IL,false
Mt. Eden High,Hayward Unified,Hayward,CA,true
Lincoln High,Wisconsin Rapids School District,Wisconsin Rapids,WI,false
Lamar H S,Arlington Isd,Arlington,TX,true
Central High,Prince George's County Public Schools,Capitol Heights,MD,true
Fairmont Heights High,Prince George's County Public Schools,Landover,MD,true
Mary McLeod Bethune Middle School,DeKalb County,Decatur,GA,true
Holy Comforter Episcopal Day School,,Gadsden,AL,false
Rose E Krug Elem School,Aurora East USD 131,Aurora,IL,false
Rose Hamilton Elementary School,Centerville-Abington Com Schs,Centerville,IN,false
Rosebud Elementary School,Gwinnett County,Loganville,GA,false
Rosedale Elementary School,Southwest Parke Com Sch Corp,Rosedale,IN,false
Roselle Middle School,Roselle SD 12,Roselle,IL,false
Rosemont Elementary School,Troup County,Lagrange,GA,false
Roslyn Road Elem School,Barrington CUSD 220,Barrington,IL,false
Ross Elementary School,Kuna Joint District,Kuna,ID,false
Shepherd High School,Shepherd Public Schools,Shepherd,MI,false
Desert View Elementary School,Hermiston SD 8,Hermiston,OR,false
Donegal Intermediate School,Donegal SD,Marietta,PA,false
