school_name,district_name,city,state,admin_approved
Mt Vernon El,Mount Vernon Isd,Mount Vernon,TX,false
Mt. Juliet Elementary,Wilson County,Mt Juliet,TN,false
Mt. Lebanon Elementary,Anderson 04,Pendleton,SC,false
Mt. Loafer School,Nebo District,Salem,UT,false
Mt. Pleasant Academy,Charleston 01,Mount Pleasant,SC,false
Mt. Pleasant School,North Sanpete District,Mt Pleasant,UT,false
Mt. View Elementary,Davidson County,Antioch,TN,false
Mt. Zion Elementary,Charleston 01,Johns Island,SC,false
Mueller El,Klein Isd,Klein,TX,false
First Baptist Academy of Universal City,,Universal City,TX,false
Town East Christian School,,San Antonio,TX,false
Trinity Christian Academy,,San Antonio,TX,false
Brazosport Christian School,,Lake Jackson,TX,false
Living Stones Christian School,,Alvin,TX,false
L.a. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,CA,false
La Ballona Elementary,Culver City Unified,Culver City,CA,false
La Canada Elementary,La Canada Unified,La Canada,CA,false
Fulton County High School,Fulton County,Hickman,KY,true
Fulton Alternative Education,Fulton Schools,Middleton,MI,true
La Canada Elementary,Lompoc Unified,Lompoc,CA,false
Fulton County Middle School,Fulton County,Hickman,KY,true
La Canada High,La Canada Unified,La Canada,CA,false
La Cima Middle School,Amphitheater Unified District (4406),Tucson,AZ,true
La Colima Elementary,East Whittier City Elementary,Whittier,CA,false
La Colina Junior High,Santa Barbara Unified,Santa Barbara,CA,false
Gallatin County Lower Elementary,Gallatin County,Warsaw,KY,false
Gallatin County Upper Elementary,Gallatin County,Warsaw,KY,false
Fuller Middle,Framingham,Framingham,MA,true
Fulton High School,Fulton Schools,Middleton,MI,false
Fullerton High School,Fullerton Public Schools,Fullerton,NE,false
Fulton County Center for Career and Technology,Fulton County Center for Career and Technology,Mc Connellsburg,PA,false
Fulshear H S,Lamar Cisd,Fulshear,TX,false
Fulton High School,Knox County,Knoxville,TN,true
Muenster El,Muenster Isd,Muenster,TX,false
Muir School,Davis District,Bountiful,UT,false
Mullin Garza County Rjc,Mullin Isd,Mullin,TX,false
Mumford El,Mumford Isd,Mumford,TX,false
Munday El,Munday Cisd,Munday,TX,false
Munford Elementary,Tipton County,Munford,TN,false
Municipal School,Weber District,Roy,UT,false
Murchison El,Pflugerville Isd,Pflugerville,TX,false
Murnin El,Northside Isd,San Antonio,TX,false
Murrell at Glenn School,Davidson County,Nashville,TN,false
Murry Fly El,Ector County Isd,Odessa,TX,false
Myatt El,El Campo Isd,El Campo,TX,false
Myers El,Northside Isd,San Antonio,TX,false
Fulton Independent School,Fulton Independent,Fulton,KY,true
Galliano Elementary School,Lafourche Parish,Galliano,LA,false
Westport Central School,WESTPORT CENTRAL SCHOOL DISTRICT,WESTPORT,NY,false
La Contenta Middle,Morongo Unified,Twenty Nine Palms,CA,true
Galva-Holstein Elementary School,Galva-Holstein Comm School District,Holstein,IA,false
La Costa Canyon High,San Dieguito Union High,Encinitas,CA,false
Galva-Holstein Upper Elementary,Galva-Holstein Comm School District,Galva,IA,false
Galvez Primary School,Ascension Parish,Prairieville,LA,false
Gamaliel Elementary,Monroe County,Gamaliel,KY,false
Fulton Middle School,Fulton Schools,Middleton,MI,true
Fulton Middle,Fulton 58,Fulton,MO,true
Fulton Reception and Diag Ctr,Department of Corrections,Fulton,MO,false
Fulton Sr. High,Fulton 58,Fulton,MO,false
Fulton Treatment Ctr.,Division of Youth Service,Fulton,MO,true
Fulton Junior High School,Fulton City School District,Fulton,NY,true
Fuquay-Varina High,Wake County Schools,Fuquay Varina,NC,false
Fuquay-Varina Middle,Wake County Schools,Fuquay Varina,NC,false
Functional Living Skills Program,Multnomah ESD,Portland,OR,false
Myrtle Beach Early Childhood,Horry 01,Myrtle Beach,SC,false
Myrtle Beach Elementary,Horry 01,Myrtle Beach,SC,false
Myrtle Beach Primary,Horry 01,Myrtle Beach,SC,false
Myrtle Cooper El,Socorro Isd,El Paso,TX,false
Myton School,Duchesne District,Myton,UT,false
N a Howry Steam Academy,Lake Worth Isd,Lake Worth,TX,false
N W Harllee Early Childhood Center,Dallas Isd,Dallas,TX,false
Nadine Johnson El,Hutto Isd,Hutto,TX,false
Nancy J Cochran El,Dallas Isd,Dallas,TX,false
Nancy Moseley El,Dallas Isd,Dallas,TX,false
Nancy Neal El,Mansfield Isd,Mansfield,TX,false
Nancy Smith El,Albany Isd,Albany,TX,false
Nannie Berry Elementary,Sumner County,Hendersonville,TN,false
La Costa Heights Elementary,Encinitas Union Elementary,Carlsbad,CA,false
La Costa Meadows Elementary,San Marcos Unified,Carlsbad,CA,false
La Crescenta Elementary,Glendale Unified,La Crescenta,CA,false
La Entrada Continuation High,San Juan Unified,Sacramento,CA,true
La Familia Continuation High,Coachella Valley Unified,Thermal,CA,false
Furness Horace HS,Philadelphia City SD,Philadelphia,PA,true
Future Forward Education & Career Center,Franklin County,Lexington,KY,false
La Fetra Elementary,Glendora Unified,Glendora,CA,false
La Gloria Elementary,Gonzales Unified,Gonzales,CA,false
La Granada Elementary,Alvord Unified,Riverside,CA,false
La Honda Elementary,La Honda-Pescadero Unified,La Honda,CA,false
La Honda STEAM Academy,Lompoc Unified,Lompoc,CA,false
La Jolla Elementary,Moreno Valley Unified,Moreno Valley,CA,false
La Jolla High,San Diego Unified,La Jolla,CA,false
La Joya Community High School,Tolleson Union High School District (4288),Avondale,AZ,true
Gammon Elem,Wichita,Wichita,KS,false
Furnace Brook Middle,Marshfield,Marshfield,MA,false
Future Foundations Academy (FFA),Educational Services Commission of New Jersey,Piscataway,NJ,false
Furman Middle,Sumter 01,Sumter,SC,true
Furr H S,Houston Isd,Houston,TX,true
Nanny El,Riviera Isd,Riviera,TX,false
Naomi Pasemann El,Taylor Isd,Taylor,TX,false
Naomi Press El,Mckinney Isd,Mckinney,TX,false
Nolanville El,Killeen Isd,Nolanville,TX,false
Nolensville Elementary,Williamson County,Nolensville,TN,false
Nolensville High School,Williamson County,Nolensville,TN,false
Noonan El,Alice Isd,Alice,TX,false
Norma Dorsey El,Garland Isd,Rowlett,TX,false
Norma J Paschal El,Schertz-Cibolo-U City Isd,Schertz,TX,false
Norma Krueger El,Marion Isd,Marion,TX,false
Futures School,Lake Washington School District,Kirkland,WA,false
Bracken Christian School,,Bulverde,TX,false
St James Episcopal School of Dallas,,Dallas,TX,false
St Philips School & Community Center,,Dallas,TX,false
G W Carver Middle,Waco Isd,Waco,TX,true
G a R Ms,Wilkes-Barre Area SD,Wilkes Barre,PA,true
G W Carver High School,G W Carver Collegiate Academy,New Orleans,LA,true
La Joya Elementary,Santa Rita Union Elementary,Salinas,CA,false
Fyffe High School,DeKalb County,Fyffe,AL,true
La Joya Middle,Visalia Unified,Visalia,CA,true
La Madera Elementary,Saddleback Valley Unified,Lake Forest,CA,false
Garden Plain High,Renwick,Garden Plain,KS,false
G R Edwards Middle,Nash County Public Schools,Rocky Mount,NC,true
G Ray Bodley High School,Fulton City School District,Fulton,NY,true
G L Wiley Opportunity Center,Waco Isd,Waco,TX,true
G O a L S Program,Shiner Isd,Yoakum,TX,false
G O a L S Program,Hallettsville Isd,Yoakum,TX,false
G O a L S Program,Moulton Isd,Moulton,TX,false
G W Carver 6th Grade Stem Learning Center,Lancaster Isd,Lancaster,TX,false
G W Kennemer Middle,Duncanville Isd,Dallas,TX,true
Natha Howell El,Fort Worth Isd,Fort Worth,TX,false
Nathan Adams El,Dallas Isd,Dallas,TX,false
Nathaniel Hawthorne El,Dallas Isd,Dallas,TX,false
Navarro El,Lockhart Isd,Lockhart,TX,false
Navarro El,Navarro Isd,Seguin,TX,false
Navarro El,Bryan Isd,Bryan,TX,false
Navarro Int,Navarro Isd,Seguin,TX,false
Navarro J H,Navarro Isd,Seguin,TX,false
Navarro Middle,Houston Isd,Houston,TX,true
Navasota H S,Navasota Isd,Navasota,TX,true
Navasota J H,Navasota Isd,Navasota,TX,true
Navigator Pointe Academy,Navigator Pointe Academy,West Jordan,UT,false
Nci Charter School Without Walls,Bakerripley Community Schools,Houston,TX,false
White Rock North School,,Dallas,TX,false
Firewheel Christian Academy,,Garland,TX,false
Garden Springs Elementary School,Fayette County,Lexington,KY,false
G. Frank Russell Technology Center,Greenwood 80,Greenwood,SC,false
La Loma Junior High,Modesto City Elementary,Modesto,CA,true
La Paloma Academy Marana,Liberty Traditional Charter School (10968),Tucson,AZ,false
Gardiner Elem,Wichita,Wichita,KS,false
La Puente High,Hacienda La Puente Unified,La Puente,CA,true
La Quinta High,Desert Sands Unified,La Quinta,CA,false
Glen Oaks Senior High School,East Baton Rouge Parish,Baton Rouge,LA,true
La Quinta High,Garden Grove Unified,Westminster,CA,true
La Quinta Middle,Desert Sands Unified,La Quinta,CA,true
Ladera Ranch Middle,Capistrano Unified,Ladera Ranch,CA,false
Laneview Elementary,Berryessa Union Elementary,San Jose,CA,false
Lang Ranch,Conejo Valley Unified,Thousand Oaks,CA,false
Carver High School Early College,Atlanta Public Schools,Atlanta,GA,true
Glen View Elementary School,Lincoln Parish,Ruston,LA,false
Glendale Elementary School,St. Landry Parish,Eunice,LA,false
Glendover Elementary School,Fayette County,Lexington,KY,false
Glenmora High School,Rapides Parish,Glenmora,LA,true
Glenn O Swing Elementary,Covington Independent,Covington,KY,false
Gabbs High School,Nye,Gabbs,NV,true
Gabbs Middle School,Nye,Gabbs,NV,true
G. C. Hawley Middle,Granville County Schools,Creedmoor,NC,true
Gackle-Streeter High School,Gackle-Streeter 56,Gackle,ND,false
Neal El,San Antonio Isd,San Antonio,TX,false
Neal El,Bryan Isd,Bryan,TX,false
Nebbie Williams El,Rockwall Isd,Rockwall,TX,false
Nebo Online School,Nebo District,Salem,UT,false
Nebo View School,Juab District,Nephi,UT,false
Ned E Williams El,Longview Isd,Longview,TX,false
Needville El,Needville Isd,Needville,TX,false
Neely's Bend Elementary,Davidson County,Nashville,TN,false
Neff Ecc,Houston Isd,Houston,TX,false
Neff El,Houston Isd,Houston,TX,false
Gahanna East Middle School,Gahanna-Jefferson City,Gahanna,OH,false
Gahanna South Middle School,Gahanna-Jefferson City,Gahanna,OH,false
La Mariposa,Pleasant Valley,Camarillo,CA,false
Garfield Elem,Augusta,Augusta,KS,false
Garfield Elem,Clay County,Clay Center,KS,false
Garfield Elem,Ottawa,Ottawa,KS,false
La Merced Academy,Montebello Unified,Montebello,CA,false
Garfield Elementary  School,Clarinda Comm School District,Clarinda,IA,false
La Merced Intermediate,Montebello Unified,Montebello,CA,true
La Mesa,Monterey Peninsula Unified,Monterey,CA,false
Gage Park High School,Chicago Public Schools Dist 299,Chicago,IL,true
Gages Lake School,Spec Educ Dist Lake County/Sedol,Gages Lake,IL,false
Garfield Elementary School,Cedar Rapids Comm School District,Cedar Rapids,IA,false
Garfield Elementary School,Davenport Comm School District,Davenport,IA,false
Garfield School,Parsons,Parsons,KS,false
Garner-Hayfield-Ventura Elementary School,Garner-Hayfield-Ventura Comm School District,Garner,IA,false
Garner-Hayfield-Ventura High School,Garner-Hayfield-Ventura Comm School District,Garner,IA,false
Garner-Hayfield-Ventura Middle School,Garner-Hayfield-Ventura Comm School District,Garner,IA,false
Gahanna West Middle School,Gahanna-Jefferson City,Gahanna,OH,true
Gaffney High,Cherokee 01,Gaffney,SC,true
Gaffney Middle,Cherokee 01,Gaffney,SC,true
Neidig El,Elgin Isd,Elgin,TX,false
Neil Armstrong Academy,Granite District,West Valley,UT,false
Neil Armstrong El,South San Antonio Isd,San Antonio,TX,false
Neisd - Pk4sa,North East Isd,San Antonio,TX,false
Nellie Mae Glass El,Eagle Pass Isd,Eagle Pass,TX,false
Nelson Early Childhood Campus,San Antonio Isd,San Antonio,TX,false
Nelson El,Denton Isd,Denton,TX,false
Neola School,Duchesne District,Neola,UT,false
Nesmith El,Community Isd,Nevada,TX,false
Nette Shultz,Denton Isd,Denton,TX,false
Nettie Baccus El,Granbury Isd,Granbury,TX,false
Liberty Christian School,,Argyle,TX,false
Garnett Elementary School,Garnett,Garnett,KS,false
The Walden School,,Sugar Land,TX,false
Emmanuel Christian School,,Gonzales,TX,false
Garrard County Area Technology Center,Kentucky Tech System,Lancaster,KY,false
Gainesville H S,Gainesville Isd,Gainesville,TX,true
Gainesville Int,Gainesville Isd,Gainesville,TX,false
La Mesa Dale Elementary,La Mesa-Spring Valley,La Mesa,CA,false
Gainesville High School,Gainesville City,Gainesville,GA,true
Gainesville Middle School East,Gainesville City,Gainesville,GA,true
Gainesville Regional Youth Detention Center,Department of Juvenile Justice,Gainesville,GA,true
Garrard County High School,Garrard County,Lancaster,KY,true
Garrard Middle School,Garrard County,Lancaster,KY,true
Garret Schenck School,Rsu 74/Msad 74,Anson,ME,false
Garrett Morgan Elementary,Fayette County,Lexington,KY,false
Garrison Elementary School,Lewis County,Garrison,KY,false
Garth Elementary School,Scott County,Georgetown,KY,false
Gainesville High,Gainesville R-V,Gainesville,MO,true
Gainesville J H,Gainesville Isd,Gainesville,TX,true
Nevitt Forest Elementary,Anderson 05,Anderson,SC,false
New 07 08 09,Conroe Isd,Conroe,TX,false
New 130,Leander Isd,Leander,TX,false
New Alternative School,Stockdale Isd,Smiley,TX,false
New Bridge School,Ogden City District,Ogden,UT,false
New Caney El,New Caney Isd,New Caney,TX,false
New Conroe J H,Conroe Isd,Conroe,TX,false
New Deal El,New Deal Isd,New Deal,TX,false
New Eagle Mountain Middle School,Alpine District,American Fork,UT,false
New Early Childhood Center 1,Northwest Isd,Fort Worth,TX,false
New Early Childhood Center 2,Northwest Isd,Fort Worth,TX,false
New Early Childhood Center 3,Northwest Isd,Fort Worth,TX,false
Grayson Christian School,,Sherman,TX,false
Longview Christian Academy,,Longview,TX,false
Longview Christian School,,Longview,TX,false
The Village School,,Houston,TX,false
The Post Oak School,,Bellaire,TX,false
Grandfather Academy,Grandfather Academy,Banner Elk,NC,true
Northwood Montessori School,,Houston,TX,false
Baytown Christian Academy,,Baytown,TX,false
Galena High,Galena,Galena,KS,true
La Mesa Junior High,William S. Hart Union High,Santa Clarita,CA,true
La Mirada Elementary,San Ysidro Elementary,San Ysidro,CA,false
Galena Middle School,Galena USD 120,Galena,IL,false
Lisa Academy Fayetteville,Lisa Academy,Fayetteville,AR,false
Naranca Elementary,Cajon Valley Union,El Cajon,CA,false
Nathaniel Narbonne Senior High,Los Angeles Unified,Harbor City,CA,true
Galatia High School,Galatia CUSD 1,Galatia,IL,true
Galatia Jr High,Galatia CUSD 1,Galatia,IL,false
Galena High School,Galena USD 120,Galena,IL,false
Galena Middle School,Galena,Galena,KS,true
Garton Elementary,Des Moines Independent Comm School District,Des Moines,IA,false
Gateway Children's Services,Montgomery County,Mt Sterling,KY,false
Gateway High School,Ottumwa Comm School District,Ottumwa,IA,false
Geo E Nettels Elem,Pittsburg,Pittsburg,KS,false
Galena High,Galena R-Ii,Galena,MO,true
Galena High School,Washoe County,Reno,NV,false
New Early Childhood Center 4,Northwest Isd,Fort Worth,TX,false
New Echs,Fort Worth Isd,Fort Worth,TX,false
New El,Judson Isd,Live Oak,TX,false
New El,Cypress-Fairbanks Isd,Houston,TX,false
New El,Dripping Springs Isd,Dripping Springs,TX,false
New El,Wylie Isd,Wylie,TX,false
New El,Celina Isd,Celina,TX,false
New El,Lockhart Isd,Lockhart,TX,false
New El #4,Jarrell Isd,Jarrell,TX,false
New El #47,Katy Isd,Katy,TX,false
New El #48,Katy Isd,Katy,TX,false
Greenville Christian School,,Greenville,TX,false
St Peter's Episcopal School,,Kerrville,TX,false
Trinity Christian School,,Lubbock,TX,false
Bridges Academy,Bridges Academy,State Road,NC,true
Galesburg Middle School,Erie Galesburg,Galesburg,KS,false
GEO Prep Academy of Greater Baton Rouge,GEO Prep Academy of Greater Baton Rouge,Baton Rouge,LA,true
Galena Park H S,Galena Park Isd,Galena Park,TX,true
Galena Park Isd Career & Technical Echs,Galena Park Isd,Houston,TX,true
Central Baptist Academy,,Pinehurst,TX,false
Community Christian School,,Orange,TX,false
Galeton Area Sch,Galeton Area SD,Galeton,PA,true
La Paloma Elementary,Fallbrook Union Elementary,Fallbrook,CA,false
La Paloma High (Continuation),Liberty Union High,Brentwood,CA,false
Lampson Elementary,Orange Unified,Garden Grove,CA,false
GEO Prep Baker,GEO Prep Baker,Baker,LA,false
George B Weatherbee School,Rsu 22,Hampden,ME,false
GalesburgAugusta Alternative Education,Galesburg-Augusta Community Schools,Galesburg,MI,false
Galena Park Middle,Galena Park Isd,Galena Park,TX,true
New El #52,Fort Bend Isd,Sugar Land,TX,false
New El #55,Fort Bend Isd,Sugar Land,TX,false
New El 118,Prosper Isd,Prosper,TX,false
New El 119,Prosper Isd,Prosper,TX,false
New El North,Little Elm Isd,Little Elm,TX,false
New H S,Conroe Isd,Conroe,TX,false
New H S 3,New Frontiers Public Schools Inc,San Antonio,TX,false
New H S 4,New Frontiers Public Schools Inc,San Antonio,TX,false
New H S 4,Northwest Isd,Fort Worth,TX,false
New Hopewell Elementary,Knox County,Knoxville,TN,false
New Horizons Ranch School,Mullin Isd,Mullin,TX,false
New Int S,Wylie Isd,Wylie,TX,false
New Jh S,Wylie Isd,Wylie,TX,false
New Market Elementary,Jefferson County,New Market,TN,false
New Middle,Argyle Isd,Flower Mound,TX,false
New Middle #2,Jarrell Isd,Jarrell,TX,false
Amarillo Montessori Academy,,Amarillo,TX,false
San Jacinto Christian Academy,,Amarillo,TX,false
Covenant Christian Academy,,Colleyville,TX,false
St Mary Catholic School,,Pinckney,MI,false
St Mary School,,Alma,MI,false
Websterville Baptist Christian Academy,,Websterville,VT,false
La Paz Middle,Salinas Union High,Salinas,CA,true
Gallatin County High School,Gallatin County,Warsaw,KY,true
La Pluma Elementary,Norwalk-La Mirada Unified,La Mirada,CA,false
La Presa Elementary,La Mesa-Spring Valley,Spring Valley,CA,false
La Primaria Elementary,Mountain View Elementary,El Monte,CA,false
La Rosa Elementary,Ceres Unified,Ceres,CA,false
Gallatin County Middle School,Gallatin County,Warsaw,KY,true
Gallatin Gateway 7-8,Gallatin Gateway Elem,Gallatin Gateway,MT,false
Gallatin High,Gallatin R-V,Gallatin,MO,false
Gallatin High School,Bozeman H S,Bozeman,MT,false
Gallatin Middle School,Gallatin R-V,Gallatin,MO,true
Galion High School,Galion City,Galion,OH,true
Galion Middle School,Galion City,Galion,OH,true
Galion Online Academy,Galion City,Galion,OH,false
Gallia Academy High School,Gallipolis City,Gallipolis,OH,true
Gallatin Senior High School,Sumner County,Gallatin,TN,false
New Middle 8,Northwest Isd,Fort Worth,TX,false
New Middleton Elementary,Smith County,Gordonsville,TN,false
New Neighbor Campus,Bakerripley Community Schools,Houston,TX,false
New Pathways Center,Harlingen Cisd,Harlingen,TX,false
New Prospect Elementary,Spartanburg 01,Inman,SC,false
New Prospect Elementary,Anderson 05,Anderson,SC,false
New Providence Elementary,Lexington 01,Lexington,SC,false
New Underwood Elementary - 02,New Underwood School District 51-3,New Underwood,SD,false
New Union Elementary,Coffee County,Manchester,TN,false
New Waverly El,New Waverly Isd,New Waverly,TX,false
New Waverly Int,New Waverly Isd,New Waverly,TX,false
Newbern Elementary School,Dyer County,Newbern,TN,false
Newberry Elementary,Newberry 01,Newberry,SC,false
Neighborhood Schoolhouse,,Brattleboro,VT,false
St Anne's-Belfield School,,Charlottesville,VA,false
Gallia Academy Middle School,Gallipolis City,Gallipolis,OH,true
Galloway Ridge Intermediate School,South-Western City,Galloway,OH,false
Galveston Co Detention Ctr,Dickinson Isd,Dickinson,TX,false
Galveston Co J J a E P,Dickinson Isd,Dickinson,TX,false
Ridgeview Christian School,,Stuarts Draft,VA,false
Anson Academy,Anson County Schools,Wadesboro,NC,true
La Rosa Elementary,Temple City Unified,Temple City,CA,false
George Cox Elementary School,Jefferson Parish,Gretna,LA,false
Avery High STEM Academy,Avery County Schools,Newland,NC,false
La Salle Avenue Elementary,Los Angeles Unified,Los Angeles,CA,false
La Senita Elementary,Kingman Unified School District (79598),Kingman,AZ,false
George E Jack School,Rsu 06/Msad 06,Standish,ME,false
Galveston Co J J a E P,Hitchcock Isd,Hitchcock,TX,false
Galveston Co J J a E P,Santa Fe Isd,Santa Fe,TX,false
Galveston Co J J a E P,Friendswood Isd,Friendswood,TX,false
Newberry Elementary,Memphis-Shelby County Schools,Memphis,TN,false
Newell E Woolls Int,Hondo Isd,Hondo,TX,false
Newell Elementary - 02,Newell School District 09-2,Newell,SD,false
Newgulf El,Boling Isd,Boling,TX,false
Newington Elementary,Dorchester 02,Summerville,SC,false
Newman El,El Paso Isd,El Paso,TX,false
Newman El,United Isd,Laredo,TX,false
Newman El,Frisco Isd,Frisco,TX,false
Newman International Academy at Fort Worth,Newman International Academy of Arlington,Arlington,TX,false
Newman International Academy Bethlehem,Newman International Academy of Arlington,Arlington,TX,false
Newman School,Salt Lake District,Salt Lake City,UT,false
Newport El,Crosby Isd,Crosby,TX,false
Newton Collins El,Del Valle Isd,Del Valle,TX,false
Newton El,Newton Isd,Newton,TX,false
Nisd Pksa,Northside Isd,San Antonio,TX,false
Nita Pearson El,Garland Isd,Rowlett,TX,false
Riverside School,,North Chesterfield,VA,false
St Margaret's School,,Tappahannock,VA,false
Avery High Viking Academy,Avery County Schools,Newland,NC,false
La Serna High,Whittier Union High,Whittier,CA,false
Galvez Middle School,Ascension Parish,Prairieville,LA,true
La Sierra High,Alvord Unified,Riverside,CA,true
La Sierra High,Tulare County Office of Education,Visalia,CA,true
La Sierra High (Alternative),Fullerton Joint Union High,Fullerton,CA,true
La Tercera Elementary,Old Adobe Union,Petaluma,CA,false
George J Mitchell School,Waterville Public Schools,Waterville,ME,false
Galvin Middle School,Wakefield,Wakefield,MA,false
Galway Junior/Senior High School,Galway Central School District,Galway,NY,false
Gamewell Middle,Caldwell County Schools,Lenoir,NC,true
Gamp,Philadelphia City SD,Philadelphia,PA,true
Galveston Co J J a E P,Galveston Isd,Galveston,TX,false
Galveston Co Jjaep,Clear Creek Isd,League City,TX,false
Game Development Design School at Burleson Isd,Burleson Isd,Burleson,TX,false
Ganado H S,Ganado Isd,Ganado,TX,true
Ganado Jh,Ganado Isd,Ganado,TX,true
Nichols-Mock El,Alvin Isd,Alvin,TX,false
Nicole's Place,Brookesmith Isd,Brookesmith,TX,false
Nimitz El,Kerrville Isd,Kerrville,TX,false
Ninety Six Elementary,Greenwood 52,Ninety Six,SC,false
Ninety Six Primary,Greenwood 52,Ninety Six,SC,false
Red El,Houston Isd,Houston,TX,false
Red Lick El,Red Lick Isd,Texarkana,TX,false
Red Mountain School,Washington District,Ivins,UT,false
Red Oak El,Red Oak Isd,Red Oak,TX,false
Red Rock El,Bastrop Isd,Red Rock,TX,false
Red Sands El,Clint Isd,El Paso,TX,false
Redbud El,Round Rock Isd,Round Rock,TX,false
Redcliffe Elementary,Aiken 01,Aiken,SC,false
Redfield Elementary - 03,Redfield School District 56-4,Redfield,SD,false
Redland Oaks El,North East Isd,San Antonio,TX,false
La Tierra Early Childhood Center,Saddleback Valley Unified,Mission Viejo,CA,false
La Verne Heights Elementary,Bonita Unified,San Dimas,CA,false
Merritt Academy,,Fairfax,VA,false
Gans Hs,Gans,Gans,OK,false
La Verne Science and Technology Charter,Pomona Unified,Pomona,CA,false
La Veta Elementary,Orange Unified,Orange,CA,false
La Vida Charter,La Vida Charter District,Ukiah,CA,true
Gananda Middle School,Gananda Central School District,Walworth,NY,false
Garden City High School,Garden City Union Free School District,Garden City,NY,false
Garaway High School,Garaway Local,Sugarcreek,OH,false
Garber Hs,Garber,Garber,OK,false
Garcia Middle,Northside Isd,San Antonio,TX,false
Garcia Middle,Brownsville Isd,Brownsville,TX,true
Garcia Middle,Aldine Isd,Houston,TX,true
Garcia Ymla,Austin Isd,Austin,TX,true
Garden City H S,Glasscock County Isd,Garden City,TX,true
Nitsch El,Klein Isd,Klein,TX,false
Nixon El,El Paso Isd,El Paso,TX,false
Nixon Smiley El,Nixon-Smiley Cisd,Nixon,TX,false
Noah Webster Academy,Noah Webster Academy,Orem,UT,false
Noble Reed,Crandall Isd,Crandall,TX,false
Nocona El,Nocona Isd,Nocona,TX,false
Noel El,Ector County Isd,Odessa,TX,false
Nola Kathryn Wilson El,Crandall Isd,Crandall,TX,false
Nolachuckey Elementary,Greene County,Greeneville,TN,false
Nolan Elementary School,Hamilton County,Signal Mountain,TN,false
North Bend El,Humble Isd,Humble,TX,false
North Bridge El,Weslaco Isd,Weslaco,TX,false
North Central El,Yes Prep Public Schools Inc,Houston,TX,false
North Central Elementary,Kershaw 01,Kershaw,SC,false
O'bryant Int,Bellville Isd,Bellville,TX,false
O'bryant Pri,Bellville Isd,Bellville,TX,false
Montessori School of Northern Virginia,,Annandale,VA,false
Montessori School of Mclean,,Mclean,VA,false
Charlotte Learning Academy,Charlotte Learning Academy,Charlotte,NC,false
Fairfax Baptist Temple Academy,,Fairfax Station,VA,false
Garden City High School,Garden City,Garden City,KS,true
La Vista High (Continuation),Fullerton Joint Union High,Fullerton,CA,true
Ladd Lane Elementary,Hollister,Hollister,CA,false
Ladera Elementary,Tustin Unified,Tustin,CA,false
Ladera Palma Elementary,La Habra City Elementary,La Habra,CA,false
Ladera Ranch Elementary,Capistrano Unified,Ladera Ranch,CA,false
Ladera STARS Academy,Conejo Valley Unified,Thousand Oaks,CA,false
George Rogers Clark High School,Clark County,Winchester,KY,true
Garden City High School,Garden City Public Schools,Garden City,MI,false
Garden City Middle School,Garden City Public Schools,Garden City,MI,true
Garden County Junior/Senior High School,Garden County Schools,Oshkosh,NE,true
Garden City Middle School,Garden City Union Free School District,Garden City,NY,false
Gettysburg Area MS,Gettysburg Area SD,Gettysburg,PA,false
Gary School,Gary Isd,Gary,TX,true
Gettysburg High School - 01,Gettysburg School District 53-1,Gettysburg,SD,false
Norma Krueger El/Bert Karrer Campus,Marion Isd,Marion,TX,false
Norman Binkley Elementary,Davidson County,Nashville,TN,false
Norman M Thomas El,Freer Isd,Freer,TX,false
Norman Smith Elementary,Montgomery County,Clarksville,TN,false
Norman-Sims El,Austin Isd,Austin,TX,false
Normandy Crossing El,Galena Park Isd,Houston,TX,false
Normangee El,Normangee Isd,Normangee,TX,false
Norris El,Frisco Isd,Frisco,TX,false
Norris Elementary,Anderson County,Norris,TN,false
Norris Elementary - 08,White River School District 47-1,White River,SD,false
North Aiken Elementary,Aiken 01,Aiken,SC,false
North Augusta Elementary,Aiken 01,North Augusta,SC,false
St Michael's Catholic Academy,,Austin,TX,false
St Anne Catholic School,,Tomball,TX,false
Gardiner Area High School,Rsu 11/Msad 11,Gardiner,ME,false
Gardiner Regional Middle School,Rsu 11/Msad 11,Gardiner,ME,true
Ladera Vista Junior High School of the Arts,Fullerton Elementary,Fullerton,CA,false
Ladonia Elementary School,Russell County,Phenix City,AL,false
Lafayette County Elementary,Lafayette County School District,Lewisville,AR,true
Gardner Edgerton High,Gardner Edgerton,Gardner,KS,false
George Unseld Early Childhood Center,Jefferson County,Louisville,KY,false
Gardner Academy for Learning and Technology,Gardner,Gardner,MA,false
Gardner High,Gardner,Gardner,MA,false
Gardner Middle School,Gardner,Gardner,MA,false
Gardiner 7-8,Gardiner Elem,Gardiner,MT,false
Gardiner High School,Gardiner H S,Gardiner,MT,false
Garfield Co Dist HS,Garfield County H S,Jordan,MT,false
Gardiner Middle School,Oregon City SD 62,Oregon City,OR,false
Garfield Elementary School,Cleveland Municipal,Cleveland,OH,true
North Charleston Creative Arts Elementary,Charleston 01,North Charleston,SC,false
North Charleston Elementary,Charleston 01,North Charleston,SC,false
North Clinton Elementary,Clinton,Clinton,TN,false
North Coffee Elementary,Coffee County,Manchester,TN,false
North Creek El,Melissa Isd,Melissa,TX,false
North El,White Settlement Isd,White Settlement,TX,false
North El,Plainview Isd,Plainview,TX,false
North Elementary,Lancaster 01,Lancaster,SC,false
