school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Montgomery City Elem.,Montgomery Co. R-II,Montgomery City,326,174,Yes participating without using any Provision or the CEO,false
Montgomery Co. High,Montgomery Co. R-II,Montgomery City,336,129,Yes participating without using any Provision or the CEO,false
Montgomery Co. Middle,Montgomery Co. R-II,Montgomery City,264,123,Yes participating without using any Provision or the CEO,true
Montrose Elem.,Montrose R-Xiv,Montrose,17,14,Yes participating without using any Provision or the CEO,true
Montrose High,Montrose R-Xiv,Montrose,45,20,Yes participating without using any Provision or the CEO,false
Moreau Heights Elem.,Jefferson City,Jefferson City,324,209,Yes participating without using any Provision or the CEO,false
Moreland Ridge Middle,Blue Springs R-IV,Blue Springs,813,252,Yes participating without using any Provision or the CEO,false
Morgan Co. Elem.,Morgan Co. R-II,Versailles,522,322,Yes participating without using any Provision or the CEO,false
Morgan Co. High,Morgan Co. R-II,Versailles,377,195,Yes participating without using any Provision or the CEO,true
Morgan Co. Middle,Morgan Co. R-II,Versailles,298,161,Yes participating without using any Provision or the CEO,true
Morgan Co. R-I Elem.,Morgan Co. R-I,Stover,383,383,Yes under Community Eligibility Option (CEO),false
Morgan Co. R-I High,Morgan Co. R-I,Stover,239,239,Yes under Community Eligibility Option (CEO),true
Mosaic Elementary,Mehlville R-IX,St. Louis,258,25,Yes participating without using any Provision or the CEO,false
Mound City Elem.,Mound City R-II,Mound City,115,39,Yes participating without using any Provision or the CEO,false
Mound City High,Mound City R-II,Mound City,84,26,Yes participating without using any Provision or the CEO,false
Mound City Middle,Mound City R-II,Mound City,69,23,Yes participating without using any Provision or the CEO,true
Mount Hope Elem.,Fort Zumwalt School District,O'Fallon,444,69,Yes participating without using any Provision or the CEO,false
Mount Vernon Elem.,Mt. Vernon R-V,Mount Vernon,319,166,Yes participating without using any Provision or the CEO,false
Mount Vernon High,Mt. Vernon R-V,Mount Vernon,474,207,Yes participating without using any Provision or the CEO,true
Mount Vernon Intermediate,Mt. Vernon R-V,Mount Vernon,303,149,Yes participating without using any Provision or the CEO,false
Mount Vernon Middle,Mt. Vernon R-V,Mount Vernon,345,153,Yes participating without using any Provision or the CEO,true
Mountain Grove Elem.,Mountain Grove R-III,Mountain Grove,658,362,Yes participating without using any Provision or the CEO,false
Mountain Grove High,Mountain Grove R-III,Mountain Grove,455,270,Yes participating without using any Provision or the CEO,true
Mountain Grove Middle,Mountain Grove R-III,Mountain Grove,424,242,Yes participating without using any Provision or the CEO,true
Mountain View Elem.,Mountain View-Birch Tree R-III,Mountain View,396,260,Yes participating without using any Provision or the CEO,false
Mrh Early Childhood Center,Maplewood-Richmond Heights,Maplewood,451,100,Yes participating without using any Provision or the CEO,false
Mrh Elementary,Maplewood-Richmond Heights,Richmond Heights,436,90,Yes participating without using any Provision or the CEO,false
Mrh Middle,Maplewood-Richmond Heights,Maplewood,197,67,Yes participating without using any Provision or the CEO,false
Mt. Vernon Treatment Ctr.,Division of Youth Service,Mt Vernon,26,23,Yes participating without using any Provision or the CEO,true
Mullanphy Botanical Gardens,St. Louis City,St Louis,413,413,Yes under Community Eligibility Option (CEO),false
Muriel Battle High School,Columbia 93,Columbia,1492,739,Yes participating without using any Provision or the CEO,true
Murphy Elem.,Northwest R-I,High Ridge,433,209,Yes participating without using any Provision or the CEO,false
Nahed Chapman New American Aca,St. Louis City,St. Louis,332,332,Yes under Community Eligibility Option (CEO),true
Nashua Elementary,North Kansas City 74,Kansas City,485,113,Yes participating without using any Provision or the CEO,false
Naylor Elem.,Naylor R-II,Naylor,205,130,Yes under Community Eligibility Option (CEO),false
Naylor High School,Naylor R-II,Naylor,155,91,Yes under Community Eligibility Option (CEO),true
Neelyville Elem.,Neelyville R-IV,Neelyville,188,129,Yes participating without using any Provision or the CEO,false
Neelyville High,Neelyville R-IV,Neelyville,301,183,Yes participating without using any Provision or the CEO,true
Nell Holcomb Elem.,Nell Holcomb R-IV,Cape Girardeau,249,92,Yes participating without using any Provision or the CEO,true
Neosho High,Neosho School District,Neosho,1530,822,Yes participating without using any Provision or the CEO,true
Neosho Jr. High,Neosho School District,Neosho,753,452,Yes participating without using any Provision or the CEO,true
Nevada High,Nevada R-V,Nevada,754,356,Yes participating without using any Provision or the CEO,false
Nevada Middle,Nevada R-V,Nevada,511,284,Yes participating without using any Provision or the CEO,true
New Bloomfield Elem.,New Bloomfield R-III,New Bloomfield,403,154,Yes participating without using any Provision or the CEO,false
New Bloomfield High,New Bloomfield R-III,New Bloomfield,309,117,Yes participating without using any Provision or the CEO,false
New Dawn School,Mo Schls for the Sev Disabled,Sikeston,28,22,Yes participating without using any Provision or the CEO,true
New Day - Day Treatment,Division of Youth Service,Hillsboro,22,19,Yes participating without using any Provision or the CEO,true
New Franklin Elementary,New Franklin R-I,New Franklin,194,87,Yes participating without using any Provision or the CEO,false
New Franklin Middle-High,New Franklin R-I,New Franklin,198,65,Yes participating without using any Provision or the CEO,true
New Haven Elem.,Columbia 93,Columbia,248,151,Yes under Community Eligibility Option (CEO),false
New Haven Elem.,New Haven,New Haven,252,123,Yes participating without using any Provision or the CEO,false
New Haven High,New Haven,New Haven,130,39,Yes participating without using any Provision or the CEO,false
New Haven Middle,New Haven,New Haven,65,33,Yes participating without using any Provision or the CEO,false
New Madrid Elementary,New Madrid Co. R-I,New Madrid,250,250,Yes under Community Eligibility Option (CEO),false
New Mark Middle,North Kansas City 74,Kansas City,965,225,Yes participating without using any Provision or the CEO,false
New Trails Early Learning Ctr.,Raytown C-2,Raytown,101,56,Yes participating without using any Provision or the CEO,false
New York Elem.,New York R-IV,Hamilton,24,6,Yes participating without using any Provision or the CEO,true
Newburg Elem.,Newburg R-II,Newburg,157,114,Yes participating without using any Provision or the CEO,false
Newburg High,Newburg R-II,Newburg,152,86,Yes participating without using any Provision or the CEO,true
Newtown-Harris Elem.,Newtown-Harris R-III,Newtown,41,28,Yes participating without using any Provision or the CEO,false
Newtown-Harris High,Newtown-Harris R-III,Newtown,36,23,Yes participating without using any Provision or the CEO,true
Niangua Elem.,Niangua R-V,Niangua,155,99,Yes participating without using any Provision or the CEO,false
Niangua High,Niangua R-V,Niangua,126,77,Yes participating without using any Provision or the CEO,true
Nicholas A. Inman Intermediate,Nixa Public Schools,Nixa,397,125,Yes participating without using any Provision or the CEO,false
Nike Elem.,Meramec Valley R-III,Catawissa,212,111,Yes participating without using any Provision or the CEO,false
Nipher Middle,Kirkwood R-VII,Kirkwood,660,76,Yes participating without using any Provision or the CEO,false
Nixa High,Nixa Public Schools,Nixa,2041,456,Yes participating without using any Provision or the CEO,false
Nixa Junior High,Nixa Public Schools,Nixa,1033,253,Yes participating without using any Provision or the CEO,false
Nms @ Lucas Crossing,Normandy Schools Collaborative,St Louis,620,617,Yes participating without using any Provision or the CEO,false
Nodaway-Holt Elem.,Nodaway-Holt R-VII,Maitland,116,57,Yes participating without using any Provision or the CEO,false
Nodaway-Holt MS/HS,Nodaway-Holt R-VII,Graham,89,49,Yes participating without using any Provision or the CEO,true
Noel Elem.,McDonald Co. R-I,Noel,349,311,Yes participating without using any Provision or the CEO,true
Noel Primary,McDonald Co. R-I,Southwest City,249,225,Yes participating without using any Provision or the CEO,false
Norborne Elem.,Norborne R-VIII,Norborne,71,36,Yes participating without using any Provision or the CEO,false
Norborne High,Norborne R-VIII,Norborne,80,31,Yes participating without using any Provision or the CEO,true
Norfleet Elem.,Raytown C-2,Kansas City,329,200,Yes participating without using any Provision or the CEO,false
Normandy Early Learning Center,Normandy Schools Collaborative,St. Louis,236,236,Yes under Community Eligibility Option (CEO),false
Normandy High,Normandy Schools Collaborative,St Louis,688,688,Yes under Community Eligibility Option (CEO),true
North Andrew Elem.,North Andrew Co. R-VI,Rosendale,125,26,Yes participating without using any Provision or the CEO,false
North Andrew High,North Andrew Co. R-VI,Rosendale,86,19,Yes participating without using any Provision or the CEO,false
North Andrew Middle,North Andrew Co. R-VI,Rosendale,62,14,Yes participating without using any Provision or the CEO,true
North Callaway High,North Callaway Co. R-I,Kingdom City,347,127,Yes participating without using any Provision or the CEO,false
North Callaway Middle School,North Callaway Co. R-I,Auxvasse,218,94,Yes participating without using any Provision or the CEO,false
North Co. Middle,North St. Francois Co. R-I,Desloge,364,195,Yes participating without using any Provision or the CEO,true
North Co. Sr. High,North St. Francois Co. R-I,Bonne Terre,785,348,Yes participating without using any Provision or the CEO,true
North County Parkside Elem.,North St. Francois Co. R-I,Desloge,404,232,Yes participating without using any Provision or the CEO,false
North County Primary,North St. Francois Co. R-I,Bonne Terre,673,379,Yes participating without using any Provision or the CEO,false
North Daviess Elem.,North Daviess R-III,Jameson,29,29,Yes under Community Eligibility Option (CEO),false
North Daviess High,North Daviess R-III,Jameson,26,26,Yes under Community Eligibility Option (CEO),true
North Elem.,Jefferson City,Holts Summit,367,187,Yes participating without using any Provision or the CEO,false
North Elem.,Jackson R-II,Jackson,249,101,Yes participating without using any Provision or the CEO,false
North Elem.,Ozark R-VI,Ozark,514,190,Yes participating without using any Provision or the CEO,false
North Elementary,Warsaw R-IX,Warsaw,326,326,Yes under Community Eligibility Option (CEO),false
North Glendale Elem.,Kirkwood R-VII,Kirkwood,571,37,Yes participating without using any Provision or the CEO,false
North Harrison Elem.,North Harrison R-III,Eagleville,111,43,Yes participating without using any Provision or the CEO,false
North Harrison High,North Harrison R-III,Eagleville,106,57,Yes participating without using any Provision or the CEO,true
North High,Parkway C-2,St Louis,990,297,Yes participating without using any Provision or the CEO,false
North Kansas City High,North Kansas City 74,Kansas City,1719,905,Yes participating without using any Provision or the CEO,true
North Kirkwood Middle,Kirkwood R-VII,Kirkwood,697,46,Yes participating without using any Provision or the CEO,false
North Mercer Elem.,North Mercer Co. R-III,Mercer,84,60,Yes participating without using any Provision or the CEO,false
North Middle,Hazelwood,Florissant,702,702,Yes under Community Eligibility Option (CEO),true
North Middle,Joplin Schools,Joplin,549,400,Yes participating without using any Provision or the CEO,true
North Nodaway Elem.,North Nodaway Co. R-VI,Pickering,86,44,Yes participating without using any Provision or the CEO,false
North Nodaway Jr.-Sr. High,North Nodaway Co. R-VI,Hopkins,100,52,Yes participating without using any Provision or the CEO,false
North Park Elem.,Moberly,Moberly,214,143,Yes participating without using any Provision or the CEO,false
North Pemiscot Sr. High,North Pemiscot Co. R-I,Wardell,134,134,Yes under Community Eligibility Option (CEO),true
North Platte Elem.,North Platte Co. R-I,Camden Point,105,29,Yes participating without using any Provision or the CEO,false
North Platte High,North Platte Co. R-I,Dearborn,220,57,Yes participating without using any Provision or the CEO,false
North Platte Intermediate,North Platte Co. R-I,Edgerton,108,35,Yes participating without using any Provision or the CEO,false
North Platte Jr. High,North Platte Co. R-I,Dearborn,123,30,Yes participating without using any Provision or the CEO,false
North Point High School,Wentzville R-IV,Wentzville,1433,170,Yes participating without using any Provision or the CEO,false
North Point Middle School,Wentzville R-IV,Wentzville,1031,148,Yes participating without using any Provision or the CEO,false
North Shelby Elem.,North Shelby,Shelbyville,167,43,Yes participating without using any Provision or the CEO,false
North Shelby High,North Shelby,Shelbyville,129,39,Yes participating without using any Provision or the CEO,false
North Side Community School,North Side Community School,Saint Louis,299,232,Yes under Community Eligibility Option (CEO),false
North Side Community-Grand Ctr,North Side Community School,St.louis,134,109,Yes under Community Eligibility Option (CEO),true
North Technical,Specl. Sch. Dst. St. Louis Co.,Florissant,833,204,Yes under Community Eligibility Option (CEO),true
North Wood Elem.,North Wood R-IV,Salem,155,99,Yes participating without using any Provision or the CEO,true
Northeast Elem.,Northeast Randolph Co. R-IV,Cairo,158,57,Yes participating without using any Provision or the CEO,false
Northeast High,Northeast Randolph Co. R-IV,Cairo,164,42,Yes participating without using any Provision or the CEO,false
Northeast High,Kansas City 33,Kansas City,732,732,Yes under Community Eligibility Option (CEO),true
Northeast Middle,Parkway C-2,Creve Coeur,812,263,Yes participating without using any Provision or the CEO,false
Northeast Middle School,Kansas City 33,Kansas City,607,607,Yes under Community Eligibility Option (CEO),true
Northeast Nodaway Elementary,Northeast Nodaway Co. R-V,Ravenwood,117,36,Yes participating without using any Provision or the CEO,false
Northeast Nodaway High,Northeast Nodaway Co. R-V,Ravenwood,81,27,Yes participating without using any Provision or the CEO,true
Northeast Vernon Co. R-I Elem.,Northeast Vernon Co. R-I,Schell City,94,67,Yes participating without using any Provision or the CEO,false
Northeast Vernon Co. R-I High,Northeast Vernon Co. R-I,Walker,92,71,Yes participating without using any Provision or the CEO,true
Northgate Middle,North Kansas City 74,Kansas City,689,459,Yes participating without using any Provision or the CEO,true
Northview,Specl. Sch. Dst. St. Louis Co.,Florissant,132,132,Yes under Community Eligibility Option (CEO),true
Northview Elem.,Jennings,Jennings,540,540,Yes under Community Eligibility Option (CEO),false
Northview Elementary,North Kansas City 74,Kansas City,656,84,Yes participating without using any Provision or the CEO,false
Northwest 5th Grade Center,Marshall,Marshall,178,118,Yes participating without using any Provision or the CEO,false
Northwest Elem.,Pettis Co. R-V,Houstonia,161,80,Yes participating without using any Provision or the CEO,false
Northwest High,Northwest R-I,Cedar Hill,1788,666,Yes participating without using any Provision or the CEO,false
Northwest High,Pettis Co. R-V,Hughesville,167,76,Yes participating without using any Provision or the CEO,true
Northwest Middle,Hazelwood,Florissant,770,770,Yes under Community Eligibility Option (CEO),true
