school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Gypsum Elementary School,Eagle County School District No. Re 50,Gypsum,395,273,Yes participating without using any Provision or the CEO,false
Haaff Elementary School,Pueblo School District No. 60 in the county of Pueblo and,Pueblo,284,200,Yes under Community Eligibility Option (CEO),false
Hackberry Hill Elementary School,Jefferson County School District No. R-1,Arvada,430,149,Yes under Community Eligibility Option (CEO),false
Hagen Early Education Center,School District No. Re-1 Valley,Sterling,117,63,Yes under Community Eligibility Option (CEO),false
Hallett Academy,School District No. 1 in the county of Denver and State of C,Denver,250,204,Yes under Community Eligibility Option (CEO),false
Hamilton Middle School,School District No. 1 in the county of Denver and State of C,Denver,775,522,Yes under Community Eligibility Option (CEO),true
Hanover Junior-Senior High School,Hanover School District No. 28 in the county of El Paso an,Colorado Springs,134,86,Yes under Community Eligibility Option (CEO),true
Harmony Ridge P-8,Aurora Joint District No. 28 of the counties of Adams and A,Aurora,894,552,Yes under Community Eligibility Option (CEO),false
Harold Ferguson High School,Thompson School District R-2J,Loveland,164,,No,true
Harris Bilingual Elementary School,Poudre School District R-1,Fort Collins,311,190,Yes under Community Eligibility Option (CEO),false
Harris Park Elementary School,Westminster Public Schools,Westminster,234,185,Yes under Community Eligibility Option (CEO),false
Harrison High School,Harrison School District No. 2 in the county of El Paso an,Colorado Springs,1089,789,Yes under Community Eligibility Option (CEO),true
Harrison School,Fremont Re-1,Canon City,472,335,Yes under Community Eligibility Option (CEO),true
Haskin Elementary School,Center Consolidated School District No. 26 Jt. of the count,Center,312,283,Yes under Community Eligibility Option (CEO),false
Haxtun Elementary School,Haxtun School District No. Re-2J,Haxtun,155,63,Yes participating without using any Provision or the CEO,false
Haxtun Jr/Sr High School,Haxtun School District No. Re-2J,Haxtun,142,46,Yes participating without using any Provision or the CEO,false
Hayden High School,Hayden School District No. Re 1,Hayden,119,46,Yes participating without using any Provision or the CEO,false
Hayden Middle School,Hayden School District No. Re 1,Hayden,93,24,Yes participating without using any Provision or the CEO,false
Hayden Valley Elementary School,Hayden School District No. Re 1,Hayden,232,56,Yes participating without using any Provision or the CEO,false
Heath Middle School,GreeleySchool District No. 6 in the county of Weld and Sta,Greeley,499,401,Yes under Community Eligibility Option (CEO),true
Heatherwood Elementary School,Boulder Valley School District No. Re2,Boulder,252,47,Yes under Community Eligibility Option (CEO),false
Heiman Elementary School,GreeleySchool District No. 6 in the county of Weld and Sta,Evans,602,433,Yes under Community Eligibility Option (CEO),false
Hemphill Middle School,Strasburg School District 31J,Strasburg,250,105,Yes under Community Eligibility Option (CEO),false
Henderson Elementary School,School District 27J,Henderson,357,218,Yes under Community Eligibility Option (CEO),false
Henry Elementary School,Colorado Springs School District No. 11 in the county of E,Colorado Springs,306,200,Yes under Community Eligibility Option (CEO),false
Heritage Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Centennial,302,71,Yes participating without using any Provision or the CEO,false
Heritage Elementary School,Douglas County School District No. Re 1,Highlands Ranch,377,38,Yes participating without using any Provision or the CEO,false
Heritage Elementary School,Pueblo School District No. 60 in the county of Pueblo and,Pueblo,250,209,Yes under Community Eligibility Option (CEO),false
