school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Arts Academy CS,Arts Academy CS,Allentown,296,,Yes under Community Eligibility Option (CEO),true
Arts Academy Elementary CS,Arts Academy Elementary CS,Allentown,425,,Yes under Community Eligibility Option (CEO),false
Asa Packer El Sch,Bethlehem Area SD,Bethlehem,314,,Yes participating without using any Provision or the CEO,false
Asbury El Sch,Millcreek Township SD,Fairview,572,,Yes participating without using any Provision or the CEO,false
Aspira Bilingual Cyber CS,ASPIRA Bilingual Cyber CS,Philadelphia,1038,,No,true
Aston El Sch,Penn-Delco SD,Aston,405,,Yes participating without using any Provision or the CEO,false
Athens Area HS,Athens Area SD,Athens,599,,Yes under Community Eligibility Option (CEO),false
Audrielle Lynch-Ellen Bustin El Sch,Athens Area SD,Athens,542,,Yes under Community Eligibility Option (CEO),false
Austin Area El Sch,Austin Area SD,Austin,62,,Yes participating without using any Provision or the CEO,false
Austin Area Jshs,Austin Area SD,Austin,61,,Yes participating without using any Provision or the CEO,true
Avalon El Sch,Northgate SD,Pittsburgh,252,,Yes under Community Eligibility Option (CEO),false
Avella Area Jshs,Avella Area SD,Avella,228,,Yes participating without using any Provision or the CEO,false
Avella El Center,Avella Area SD,Avella,242,,Yes participating without using any Provision or the CEO,false
Avis El Sch,Jersey Shore Area SD,Jersey Shore,234,,Yes participating without using any Provision or the CEO,false
Avon Grove CS,Avon Grove CS,West Grove,1897,,Yes participating without using any Provision or the CEO,false
Avon Grove HS,Avon Grove SD,West Grove,1744,,Yes participating without using any Provision or the CEO,false
Avon Grove Intrmd Sch,Avon Grove SD,West Grove,1436,,Yes participating without using any Provision or the CEO,false
Avon Grove MS,Avon Grove SD,West Grove,1131,,Yes participating without using any Provision or the CEO,false
Avona El Sch,Wilson Area SD,Easton,205,,Yes participating without using any Provision or the CEO,false
Avonworth El Sch,Avonworth SD,Pittsburgh,478,,Yes participating without using any Provision or the CEO,false
Avonworth HS,Avonworth SD,Pittsburgh,579,,Yes participating without using any Provision or the CEO,false
Avonworth MS,Avonworth SD,Pittsburgh,446,,Yes participating without using any Provision or the CEO,false
Avonworth Primary Center,Avonworth SD,Pittsburgh,423,,Yes participating without using any Provision or the CEO,false
B F Morey El Sch,Stroudsburg Area SD,Stroudsburg,228,,Yes participating without using any Provision or the CEO,false
Bache-Martin Sch,Philadelphia City SD,Philadelphia,614,,Yes under Community Eligibility Option (CEO),true
Baden Academy CS,Baden Academy CS,Baden,593,,Yes participating without using any Provision or the CEO,false
Baggaley El Sch,Greater Latrobe SD,Latrobe,510,,Yes under Community Eligibility Option (CEO),false
Bainbridge El Sch,Elizabethtown Area SD,Bainbridge,219,,Yes participating without using any Provision or the CEO,false
Baker El Sch,Altoona Area SD,Altoona,263,,Yes participating without using any Provision or the CEO,false
Baker El Sch,Upper St. Clair SD,Pittsburgh,471,,Yes participating without using any Provision or the CEO,false
Bala-Cynwyd MS,Lower Merion SD,Bala Cynwyd,794,,Yes participating without using any Provision or the CEO,false
Bald Eagle Area MS/SHS,Bald Eagle Area SD,Wingate,832,,Yes participating without using any Provision or the CEO,false
Baldi C C a MS,Philadelphia City SD,Philadelphia,1510,,Yes under Community Eligibility Option (CEO),true
