school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Central Canyon Elementary School,Vallivue School District,Caldwell,654,392,,false
Central Elementary,Nampa School District,Nampa,365,241,,false
Central Elementary School,Sugar-Salem Joint District,Sugar City,319,155,,false
Central High School,Madison District,Rexburg,93,59,,true
Century High School,Pocatello District,Pocatello,1068,422,,false
Challis Elementary School,Challis Joint District,Challis,173,94,,false
Challis Jr/Sr High School,Challis Joint District,Challis,136,65,,false
Chaparral Elementary,Joint School District No. 2,Meridian,545,276,,false
Chief Joseph School of the Arts,Joint School District No. 2,Meridian,505,238,,false
Chief Tahgee Elementary Academy,Chief Tahgee Elementary Academy Inc.,Fort Hall,109,64,,false
Christine Donnell School of the Arts,Joint School District No. 2,Boise,464,121,,false
Chubbuck Elementary School,Pocatello District,Chubbuck,421,168,,false
Clark County Jr/Sr High School,Clark County District,Dubois,43,32,,true
Clark Fork Jr/Sr High School,Lake Pend Oreille School District,Clark Fork,134,58,,true
Claude a Wilcox Elementary School,Pocatello District,Pocatello,464,285,,false
Clearwater Valley Elementary,Mountain View School District,Kooskia,117,80,,false
Clearwater Valley Jr/Sr,Mountain View School District,Kooskia,169,99,,true
Clover Creek High School,Bear Lake County District,Montpelier,15,11,,false
Cloverdale Elementary School,Bonneville Joint District,Idaho Falls,542,270,,false
Coeur D'Alene Charter Academy School,Coeur D'Alene Charter Academy Inc.,Coeur D'Alene,593,,,false
Coeur D'Alene Early Childhood Lerning Center,Coeur D'Alene District,Coeur D'Alene,60,,,false
Coeur D'Alene High School,Coeur D'Alene District,Coeur D'Alene,1526,331,,false
Collister Elementary School,Boise Independent District,Boise,262,28,,false
Columbia High School,Nampa School District,Nampa,1165,489,,true
Compass Academy,Idaho Falls District,Idaho Falls,393,157,,false
Compass Public Charter School,Compass Public Charter School Inc.,Meridian,1265,311,,true
Connor Academy,The Academy Inc.,Chubbuck,534,,,true
Cornerstone High School,Valley District,Hazelton,6,,,false
Cossa Academy,Canyon-Owyhee School Service Agency (Cossa),Wilder,79,68,,false
Cottonwood Elementary,Jefferson County Joint District,Rigby,682,163,,false
Council Elementary School,Council District,Council,165,70,,false
Council Jr/Sr High School,Council District,Council,117,53,,true
Crimson Point Elementary School,Kuna Joint District,Kuna,454,181,,false
Crossroads Middle School,Joint School District No. 2,Meridian,124,59,,true
CTE Prep School,Soda Springs Joint District,Soda Springs,20,,,false
Culdesac School,Culdesac Joint District,Culdesac,100,42,,true
Cynthia Mann Elementary School,Boise Independent District,Boise,412,146,,false
Dallas Harris Elementary School,Boise Independent District,Boise,397,32,,false
Dalton Elementary School,Coeur D'Alene District,Dalton Gardens,411,89,,false
Dean Goodsell Elementary,Shelley Joint District,Shelley,197,65,,false
Deary School,Whitepine Joint School District,Deary,145,57,,true
Declo Elementary School,Cassia County Joint District,Declo,453,207,,false
Declo Jr High School,Cassia County Joint District,Declo,249,,,true
Declo Senior High School,Cassia County Joint District,Declo,326,114,,false
Dehryl a Dennis Prof-Tech Center,Boise Independent District,Boise,3,,,false
Desert Sage Elementary School,Joint School District No. 2,Boise,477,313,,false
Desert Springs Elementary School,Vallivue School District,Nampa,686,396,,false
Dietrich School,Dietrich District,Dietrich,173,87,,true
Discovery Elementary School,Bonneville Joint District,Idaho Falls,607,213,,false
Discovery Elementary School,Joint School District No. 2,Meridian,416,127,,false
Donald D Stalker Elementary,Blackfoot District,Blackfoot,237,143,,false
Donald J Hobbs Middle School,Shelley Joint District,Shelley,391,150,,true
Donnelly Elementary,McCall-Donnelly Joint School District,Donnelly,156,58,,false
Dora Erickson Elementary School,Idaho Falls District,Idaho Falls,436,358,,false
Doral Academy of Idaho,Doral Academy of Idaho Inc.,Meridian,331,,,false
Downey Elementary School,Marsh Valley Joint District,Downey,75,41,,false
Driggs Elementary School,Teton County District,Driggs,328,142,,false
Dworshak Elementary School,Cassia County Joint District,Burley,402,263,,false
Eagle Academy,Joint School District No. 2,Eagle,160,72,,true
Eagle Elementary School,Joint School District No. 2,Eagle,389,117,,false
Eagle High School,Joint School District No. 2,Eagle,1765,194,,false
Eagle Hills Elementary School,Joint School District No. 2,Eagle,363,65,,false
Eagle Middle School,Joint School District No. 2,Eagle,836,134,,false
Eagle Rock Middle School,Idaho Falls District,Idaho Falls,704,374,,true
East Canyon Elementary School,Vallivue School District,Nampa,799,413,,false
East Elementary School,Mountain Home District,Mountain Home,386,246,,false
East Junior High School,Boise Independent District,Boise,620,85,,false
East Minico Middle School,Minidoka County Joint District,Rupert,483,295,,true
East Valley Middle School,Nampa School District,Nampa,754,416,,true
Edahow Elementary School,Pocatello District,Pocatello,258,113,,false
Edgemont Gardens Elementary School,Idaho Falls District,Idaho Falls,560,248,,false
Elevate Academy,Elevate Academy Inc.,Caldwell,493,348,,true
Elevate Academy East Idaho,Elevate Academy East Idaho Llc,Idaho Falls,333,179,,false
Elevate Academy Nampa,Elevate Academy Nampa Llc,Nampa,496,317,,false
Elevate Academy North,Elevate Academy North Llc,Post Falls,304,153,,false
Eliza Hart Spalding STEM Academy,Joint School District No. 2,Boise,610,134,,false
Elk City School,Mountain View School District,Elk City,13,,,true
Emerson High School,Idaho Falls District,Idaho Falls,135,77,,true
Emmett High School,Emmett Independent District,Emmett,680,282,,false
Emmett Middle School,Emmett Independent District,Emmett,539,274,,true
Empower Connections Academy,Inspire Academics Inc.,Boise,163,,,false
Endeavor Elementary School,Nampa School District,Nampa,589,418,,false
Ernest Hemingway STEAM School,Blaine County District,Ketchum,431,103,,false
Ethel Boyes Elementary School,Idaho Falls District,Idaho Falls,516,342,,false
Fairmont Junior High School,Boise Independent District,Boise,659,,,true
Fairview Elementary School,Bonneville Joint District,Idaho Falls,299,116,,false
Falcon Ridge Public Charter,Falcon Ridge Public Charter School Inc.,Kuna,275,48,,true
Falls City Academy,Jerome Joint District,Jerome,75,51,,false
Falls Valley Elementary School,Bonneville Joint District,Idaho Falls,443,254,,false
Farmin Stidwell Elementary School,Lake Pend Oreille School District,Sandpoint,510,276,,false
Farnsworth Middle School,Jefferson County Joint District,Rigby,611,222,,false
Fern-Waters Public Charter School,Fern-Waters Public Charter School Inc.,Salmon,141,,,true
Fernan STEM Academy,Coeur D'Alene District,Coeur D'Alene,356,151,,false
Filer Elementary School,Filer District,Filer,397,187,,false
Filer High School,Filer District,Filer,500,174,,false
Filer Intermediate School,Filer District,Filer,345,157,,false
Filer Middle School,Filer District,Filer,256,107,,true
Firth High School,Firth District,Firth,305,84,,false
