school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Plainfield Central School,Plainfield School District,Plainfield,422,236,Yes participating without using any Provision or the CEO
Plainfield High School,Plainfield School District,Central Village,515,267,Yes participating without using any Provision or the CEO
Plainfield Memorial School,Plainfield School District,Plainfield,291,179,Yes participating without using any Provision or the CEO
Plainville High School,Plainville School District,Plainville,674,292,Yes participating without using any Provision or the CEO
Platt Technical High School,Connecticut Technical Education and Career System,Milford,749,353,Yes under Community Eligibility Option (CEO)
Pleasant Valley School,South Windsor School District,South Windsor,736,113,Yes participating without using any Provision or the CEO
Plumb Hill Middle School,Regional School District 20,Litchfield,351,90,Yes participating without using any Provision or the CEO
Plymouth Center School,Plymouth School District,Plymouth,320,163,Yes participating without using any Provision or the CEO
Polk School,Watertown School District,Oakville,303,161,Yes participating without using any Provision or the CEO
Pomfret Community School,Pomfret School District,Pomfret Center,332,77,Yes participating without using any Provision or the CEO
Pomperaug Elementary School,Regional School District 15,Southbury,395,43,Yes participating without using any Provision or the CEO
Pomperaug Regional High School,Regional School District 15,Southbury,970,143,Yes participating without using any Provision or the CEO
Pond Hill School,Wallingford School District,Wallingford,267,107,Yes participating without using any Provision or the CEO
Ponus Ridge STEAM Academy,Norwalk School District,Norwalk,637,398,Yes under Community Eligibility Option (CEO)
Poquonock Elementary School,Windsor School District,Windsor,328,158,Yes participating without using any Provision or the CEO
Portland High School,Portland School District,Portland,323,102,Yes participating without using any Provision or the CEO
Portland Middle School,Portland School District,Portland,214,70,Yes participating without using any Provision or the CEO
Prendergast School,Ansonia School District,Ansonia,588,380,Yes under Community Eligibility Option (CEO)
Preston Plains School,Preston School District,Preston,141,46,Yes participating without using any Provision or the CEO
Preston Veterans' Memorial School,Preston School District,Preston,284,80,Yes participating without using any Provision or the CEO
Prospect Elementary School,Regional School District 16,Prospect,572,136,Yes participating without using any Provision or the CEO
Prudence Crandall School,Enfield School District,Enfield,351,194,Yes participating without using any Provision or the CEO
Pulaski Middle School,New Britain School District,New Britain,839,673,Yes under Community Eligibility Option (CEO)
Pumpkin Delight School,Milford School District,Milford,271,87,Yes participating without using any Provision or the CEO
Putnam Elementary School,Putnam School District,Putnam,558,337,Yes under Community Eligibility Option (CEO)
Putnam High School,Putnam School District,Putnam,253,150,Yes under Community Eligibility Option (CEO)
Putnam Middle School,Putnam School District,Putnam,353,191,Yes under Community Eligibility Option (CEO)
Quaker Farms School,Oxford School District,Oxford,384,74,Yes participating without using any Provision or the CEO
Quaker Hill Elementary School,Waterford School District,Quaker Hill,331,127,Yes participating without using any Provision or the CEO
Quinebaug Middle College,Eastern Connecticut Regional Educational Service Center (EAS,Danielson,144,55,Yes under Community Eligibility Option (CEO)
R. Dudley Seymour School,East Granby School District,East Granby,191,35,No
R. E. Thalberg Elementary School,Southington School District,Southington,443,84,Yes participating without using any Provision or the CEO
Race Brook School,Orange School District,Orange,375,69,Yes participating without using any Provision or the CEO
Ralph M. T. Johnson School,Bethel School District,Bethel,652,233,Yes participating without using any Provision or the CEO
Rawson School,Hartford School District,Hartford,198,174,Yes under Community Eligibility Option (CEO)
Read School,Bridgeport School District,Bridgeport,863,766,Yes under Community Eligibility Option (CEO)
Redding Elementary School,Redding School District,Redding,471,34,Yes participating without using any Provision or the CEO
Reed Intermediate School,Newtown School District,Newtown,583,102,Yes participating without using any Provision or the CEO
Reed School,Waterbury School District,Waterbury,439,392,Yes under Community Eligibility Option (CEO)
Regan School,Waterbury School District,Waterbury,237,183,Yes under Community Eligibility Option (CEO)
Reggio Magnet School of the Arts,Capitol Region Education Council,Avon,511,305,Yes under Community Eligibility Option (CEO)
Regional Multicultural Magnet School,Learn,New London,469,331,Yes participating without using any Provision or the CEO
Renzulli Gifted and Talented Academy,Hartford School District,Hartford,128,73,Yes under Community Eligibility Option (CEO)
Rham High School,Regional School District 08,Hebron,714,129,Yes participating without using any Provision or the CEO
Rham Middle School,Regional School District 08,Hebron,352,71,Yes participating without using any Provision or the CEO
Richard D. Hubbard School,Berlin School District,East Berlin,215,59,Yes participating without using any Provision or the CEO
Ridge Hill School,Hamden School District,Hamden,321,149,Yes under Community Eligibility Option (CEO)
Ridge Road Elementary School,North Haven School District,North Haven,415,77,Yes participating without using any Provision or the CEO
Ridgebury Elementary School,Ridgefield School District,Ridgefield,322,19,Yes participating without using any Provision or the CEO
Ridgefield High School,Ridgefield School District,Ridgefield,1411,126,No
Rippowam Middle School,Stamford School District,Stamford,704,437,Yes under Community Eligibility Option (CEO)
Riverfield School,Fairfield School District,Fairfield,406,19,Yes participating without using any Provision or the CEO
Riverside Magnet School at Goodwin University,Goodwin University Educational Services (GUES),East Hartford,481,273,Yes under Community Eligibility Option (CEO)
Riverside School,Greenwich School District,Riverside,440,7,Yes participating without using any Provision or the CEO
Roaring Brook School,Avon School District,Avon,461,53,Yes participating without using any Provision or the CEO
Robert E. Fitch High School,Groton School District,Groton,942,565,Yes under Community Eligibility Option (CEO)
Robert J. O'Brien School,East Hartford School District,East Hartford,344,232,Yes under Community Eligibility Option (CEO)
