school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Perry Creek Elementary School,Sioux City Comm School District,Sioux City,635,286,Yes participating without using any Provision or the CEO,false
Perry Elementary,Perry Comm School District,Perry,816,490,Yes participating without using any Provision or the CEO,false
Perry High School,Perry Comm School District,Perry,549,299,Yes participating without using any Provision or the CEO,true
Perry Middle School,Perry Comm School District,Perry,370,212,Yes participating without using any Provision or the CEO,true
Phillips Elementary,Des Moines Independent Comm School District,Des Moines,263,208,Yes under Community Eligibility Option (CEO),false
Pickwick Early Childhood Center,Ottumwa Comm School District,Ottumwa,560,243,Yes under Community Eligibility Option (CEO),false
Pierce Elementary School,Cedar Rapids Comm School District,Cedar Rapids,334,110,Yes participating without using any Provision or the CEO,false
Pierson Middle School,Kingsley-Pierson Comm School District,Pierson,126,48,Yes participating without using any Provision or the CEO,true
Pineview Elementary,Iowa Falls Comm School District,Iowa Falls,281,113,Yes participating without using any Provision or the CEO,false
Pleasant Hill Elementary School,Des Moines Independent Comm School District,Des Moines,241,166,Yes under Community Eligibility Option (CEO),false
Pleasant Valley High School,Pleasant Valley Comm School District,Bettendorf,1731,193,Yes participating without using any Provision or the CEO,false
Pleasant Valley Junior High School,Pleasant Valley Comm School District,LeClaire,940,90,Yes participating without using any Provision or the CEO,false
Pleasant View Elementary School,Pleasant Valley Comm School District,Bettendorf,621,53,Yes participating without using any Provision or the CEO,false
Pleasant View Elementary School,Webster City Comm School District,Webster City,210,107,Yes participating without using any Provision or the CEO,false
Pleasantville Elementary,Pleasantville Comm School District,Pleasantville,456,136,Yes participating without using any Provision or the CEO,false
Pleasantville High School,Pleasantville Comm School District,Pleasantville,241,75,Yes participating without using any Provision or the CEO,false
Pleasantville Middle School,Pleasantville Comm School District,Pleasantville,128,43,Yes participating without using any Provision or the CEO,false
Pocahontas Area Elementary School,Pocahontas Area Comm School District,Pocahontas,265,133,Yes participating without using any Provision or the CEO,false
Pocahontas Area Middle/ High School,Pocahontas Area Comm School District,Pocahontas,367,197,Yes participating without using any Provision or the CEO,true
Pocahontas Area Regional Learning Center,Pocahontas Area Comm School District,Pocahontas,27,13,Yes participating without using any Provision or the CEO,true
Postville Early Childhood Preschool/Post St/Rec Center,Postville Comm School District,Postville,14,3,Yes participating without using any Provision or the CEO,false
Postville Early Childhood/Ogden St,Postville Comm School District,Postville,18,3,Yes participating without using any Provision or the CEO,false
Poyner Elementary,Waterloo Comm School District,Evansdale,362,217,Yes under Community Eligibility Option (CEO),false
Prairie City Elementary School,PCM Comm School District,Prairie City,240,66,Yes participating without using any Provision or the CEO,false
Prairie Creek,College Comm School District,Cedar Rapids,846,289,Yes participating without using any Provision or the CEO,false
Prairie Crest Elementary,College Comm School District,Cedar Rapids,434,189,Yes participating without using any Provision or the CEO,false
Prairie Crossing,College Comm School District,Cedar Rapids,67,47,Yes participating without using any Provision or the CEO,false
Prairie Early Childhood Center,College Comm School District,Cedar Rapids,74,29,Yes participating without using any Provision or the CEO,false
