school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
American Heritage Academy - Cottonwood,Edkey Inc. dba American Heritage Academy (6365),Cottonwood,240,,Yes under Community Eligibility Option (CEO)
American Leadership Academy - Sierra Vista K-12,American Leadership Academy Inc. (4348),Sierra Vista,704,,No
American Leadership Academy Anthem K-6,American Leadership Academy Inc. (4348),Florence,1079,,Yes participating without using any Provision or the CEO
American Leadership Academy Gilbert K-6,American Leadership Academy Inc. (4348),Gilbert,556,,No
American Leadership Academy Gilbert North K-12,American Leadership Academy Inc. (4348),Gilbert,2357,,No
American Leadership Academy Gilbert South K-6,American Leadership Academy Inc. (4348),Gilbert,396,,No
American Leadership Academy Ironwood K12,American Leadership Academy Inc. (4348),San Tan Valley,2084,,Yes participating without using any Provision or the CEO
American Leadership Academy Mesa K-6,American Leadership Academy Inc. (4348),Mesa,403,,No
American Leadership Academy Mesa North K-12,American Leadership Academy Inc. (4348),Mesa,698,,No
American Leadership Academy of Applied Technologies,American Leadership Academy Inc. (4348),Mesa,628,,No
American Leadership Academy Queen Creek K-12,American Leadership Academy Inc. (4348),Queen Creek,2356,,No
American Leadership Academy San Tan Valley K-6,American Leadership Academy Inc. (4348),San Tan Valley,637,,Yes participating without using any Provision or the CEO
American Leadership Academy Signal Butte K-6,American Leadership Academy Inc. (4348),Queen Creek,457,,Yes participating without using any Provision or the CEO
American Leadership Academy Virtual,American Leadership Academy Inc. (4348),Mesa,660,,No
American Leadership Academy West Foothills K-12,American Leadership Academy Inc. (4348),Surprise,2276,,No
Amerischools Academy - Camelback,The Charter Foundation Inc. (6355),Phoenix,94,,Yes under Community Eligibility Option (CEO)
Amerischools Academy - Tucson,The Charter Foundation Inc. (6355),Tucson,167,,Yes under Community Eligibility Option (CEO)
Amerischools Academy - Yuma,The Charter Foundation Inc. (6355),Yuma,102,,No
Amerischools Academy - Yuma North,The Charter Foundation Inc. (6355),Yuma,193,,No
Amphi Academy Online,Amphitheater Unified District (4406),Tucson,128,,No
Amphitheater High School,Amphitheater Unified District (4406),Tucson,996,,Yes under Community Eligibility Option (CEO)
Amphitheater Middle School,Amphitheater Unified District (4406),Tucson,432,,Yes under Community Eligibility Option (CEO)
Amy L. Houston Academy,Roosevelt Elementary District (4279),Phoenix,22,,No
Anasazi Elementary,Scottsdale Unified District (4240),Scottsdale,423,,Yes participating without using any Provision or the CEO
Andrada Polytechnic High School,Vail Unified District (4413),Tucson,836,,Yes participating without using any Provision or the CEO
Anna Henry Elementary School,Tucson Unified District (4403),Tucson,275,,Yes under Community Eligibility Option (CEO)
Anna Lawrence Intermediate School,Tucson Unified District (4403),Tucson,215,,Yes under Community Eligibility Option (CEO)
Anna Marie Jacobson Elementary School,Chandler Unified District #80 (4242),Chandler,651,,Yes participating without using any Provision or the CEO
Annie Kellond Elementary School,Tucson Unified District (4403),Tucson,366,,Yes under Community Eligibility Option (CEO)
Antelope Union High School,Antelope Union High School District (4506),Wellton,189,,Yes participating without using any Provision or the CEO
Anthem Elementary School,Florence Unified School District (4437),Florence,722,,Yes participating without using any Provision or the CEO
Anthem School,Deer Valley Unified District (4246),Anthem,400,,Yes participating without using any Provision or the CEO
Anza Trail,Sahuarita Unified District (4411),Sahuarita,1210,,Yes participating without using any Provision or the CEO
Apache Elementary School,Apache Elementary District (4178),Apache Junction,6,,No
Apache Elementary School,Peoria Unified School District (4237),Peoria,751,,Yes participating without using any Provision or the CEO
Apache Junction High School,Apache Junction Unified District (4443),Apache Junction,796,,Yes participating without using any Provision or the CEO
Apache Trail High School,American Charter Schools Foundation d.b.a. Apache (79883),Apache Junction,184,,Yes under Community Eligibility Option (CEO)
Apollo High School,Glendale Union High School District (4285),Glendale,2152,,Yes participating without using any Provision or the CEO
Apollo Middle School,Sunnyside Unified District (4407),Tucson,480,,Yes under Community Eligibility Option (CEO)
Arcadia High School,Scottsdale Unified District (4240),Phoenix,1679,,Yes participating without using any Provision or the CEO
Arizona Agribusiness & Equine Center - Estrella,Arizona Agribusiness & Equine Center Inc. (90779),Avondale,335,,No
Arizona Agribusiness & Equine Center Inc. - Mesa,Arizona Agribusiness & Equine Center INC. (134379),Mesa,97,,No
Arizona Agribusiness & Equine Center Inc. - Prescott Valley,Arizona Agribusiness & Equine Center Inc. (91131),Prescott Valley,327,,No
Arizona Autism Charter - Online High School,Arizona Autism Charter Schools Inc. (91958),Phoenix,92,,No
Arizona Autism Charter School,Arizona Autism Charter Schools Inc. (91958),Phoenix,201,,Yes participating without using any Provision or the CEO
Arizona Autism Charter School -Tucson Upper School Campus,Arizona Autism Charter Schools Inc. (91958),Tucson,62,,No
Arizona Autism Charter School Upper School Campus,Arizona Autism Charter Schools Inc. (91958),Phoenix,307,,Yes participating without using any Provision or the CEO
Arizona Autism Charter School West Valley Campus,Arizona Autism Charter Schools Inc. (91958),Peoria,199,,Yes participating without using any Provision or the CEO
Arizona Autism Charter School-Online K-8,Arizona Autism Charter Schools Inc. (91958),Phoenix,106,,No
Arizona Charter Academy,Success School (79453),Surprise,1049,,Yes under Community Eligibility Option (CEO)
Arizona City Elementary School,Toltec School District (4450),Arizona City,790,,Yes under Community Eligibility Option (CEO)
Arizona College Prep High School,Chandler Unified District #80 (4242),Chandler,2271,,Yes participating without using any Provision or the CEO
Arizona College Prep Middle School,Chandler Unified District #80 (4242),Chandler,907,,Yes participating without using any Provision or the CEO
Arizona Collegiate High School,Pima Prevention Partnership (90536),Phoenix,139,,Yes under Community Eligibility Option (CEO)
Arizona Connections Academy,Arizona Connections Academy Charter School Inc. (87407),Gilbert,1891,,No
Arizona Conservatory for Arts and Academics,Edkey Inc. dba Arizona Conservatory for Arts and (79981),Phoenix,235,,Yes under Community Eligibility Option (CEO)
Arizona Conservatory for Arts and Academics Elementary Schoo,Edkey Inc. - Redwood Academy (81043),Phoenix,109,,Yes under Community Eligibility Option (CEO)
Arizona Desert Elementary School,Gadsden Elementary District (4505),San Luis,662,,Yes under Community Eligibility Option (CEO)
Arizona Desert Elementary School,Tolleson Elementary District (4264),Tolleson,843,,Yes under Community Eligibility Option (CEO)
Arizona Insight Academy,Portable Practical Educational Preparation Inc. ( (87405),Glendale,955,,No
Arizona Language Preparatory,Arizona Language Preparatory (92566),Scottsdale,73,,No
Arizona Online Charter School,Liberty Traditional Charter School (10968),Tucson,42,,No
Arizona Preparatory Academy,North Star Charter School Inc. (79701),Phoenix,233,,No
Arizona School for the Arts,Arizona School For The Arts (4345),Phoenix,679,,Yes participating without using any Provision or the CEO
Arizona Virtual Academy,Portable Practical Educational Preparation Inc. ( (87405),Phoenix,4476,,No
Arlington Elementary School,Arlington Elementary District (4274),Arlington,297,,Yes under Community Eligibility Option (CEO)
Arredondo Elementary School,Tempe School District (4258),Tempe,470,,Yes under Community Eligibility Option (CEO)
Arrowhead Elementary School,Deer Valley Unified District (4246),Glendale,515,,Yes participating without using any Provision or the CEO
Arroyo Elementary School,Washington Elementary School District (4260),Glendale,504,,Yes under Community Eligibility Option (CEO)
Arts Academy at Estrella Mountain,P.L.C. Charter Schools (6235),Tolleson,895,,Yes under Community Eligibility Option (CEO)
Asante Preparatory Academy,Dysart Unified District (4243),Surprise,876,,Yes participating without using any Provision or the CEO
Asdb - Elp Fbc East Valley Preschool,Arizona State Schools for the Deaf and the Blind (6393),Chandler,10,,No
Asdb - Elp Fbc Main Preschool,Arizona State Schools for the Deaf and the Blind (6393),Phoenix,13,,No
Asdb - Elp Fbc West Valley Preschool,Arizona State Schools for the Deaf and the Blind (6393),Phoenix,8,,No
Asdb - Elp Phoenix Day School for the Deaf Preschool,Arizona State Schools for the Deaf and the Blind (6393),Phoenix,19,,No
Asdb - Elp Tucson Campus Preschool,Arizona State Schools for the Deaf and the Blind (6393),Tucson,19,,No
Asdb - Phoenix Day School for the Deaf,Arizona State Schools for the Deaf and the Blind (6393),Phoenix,173,,Yes under Provision 2
Asdb - Tucson Campus,Arizona State Schools for the Deaf and the Blind (6393),Tucson,106,,No
Ash Creek Elementary,Ash Creek Elementary District (4187),Pearce,29,,Yes under Community Eligibility Option (CEO)
Ash Fork Elementary School,Ash Fork Joint Unified District (4471),Ash Fork,124,,Yes under Provision 2
Ash Fork High School,Ash Fork Joint Unified District (4471),Ash Fork,103,,Yes under Provision 2
Ash Fork Middle School,Ash Fork Joint Unified District (4471),Ash Fork,66,,Yes under Provision 2
Ashland Elementary,Gilbert Unified District (4239),Gilbert,741,,Yes participating without using any Provision or the CEO
Ashton Ranch Middle School,Dysart Unified District (4243),Surprise,480,,Yes participating without using any Provision or the CEO
Aspire Deer Valley's Online Academy,Deer Valley Unified District (4246),Phoenix,225,,No
Aspire High School,Yavapai Accommodation School District (79379),Prescott,48,,No
Asu Preparatory Academy - Casa Grande HS,ASU Preparatory Academy - Casa Grande (92987),Casa Grande,284,,No
Asu Preparatory Academy - Phoenix Middle School,ASU Preparatory Academy (92325),Phoenix,450,,Yes under Community Eligibility Option (CEO)
Asu Preparatory Academy - South Phoenix High School,ASU Preparatory Academy (346763),Phoenix,247,,Yes under Community Eligibility Option (CEO)
Asu Preparatory Academy - South Phoenix Intermediate,ASU Preparatory Academy (90273),Phoenix,99,,Yes under Community Eligibility Option (CEO)
Asu Preparatory Academy - South Phoenix Primary,ASU Preparatory Academy (92716),Phoenix,65,,Yes under Community Eligibility Option (CEO)
Asu Preparatory Academy Digital,ASU Preparatory Academy Digital (522074),Tempe,3850,,No
Asu Preparatory Academy- Phoenix Elementary,ASU Preparatory Academy (89949),Phoenix,443,,Yes under Community Eligibility Option (CEO)
Asu Preparatory Academy- Phoenix High School,ASU Preparatory Academy (91303),Phoenix,360,,Yes under Community Eligibility Option (CEO)
Asu Preparatory Academy- Pilgrim Rest K-8,ASU Preparatory Academy (89949),Phoenix,135,,Yes under Community Eligibility Option (CEO)
Asu Preparatory Academy-Polytechnic Elementary,ASU Preparatory Academy (91307),Mesa,497,,No
Asu Preparatory Academy-Polytechnic High School,ASU Preparatory Academy (91305),Mesa,489,,No
Asu Preparatory Academy-Polytechnic Middle School,ASU Preparatory Academy (92327),Mesa,328,,No
Audrey & Robert Ryan Elementary,Chandler Unified District #80 (4242),Chandler,523,,Yes participating without using any Provision or the CEO
Augusta Ranch Elementary,Gilbert Unified District (4239),Mesa,855,,Yes participating without using any Provision or the CEO
Augustus H. Shaw Montessori,Phoenix Elementary District (4256),Phoenix,476,,Yes under Community Eligibility Option (CEO)
Auhs Online Acadamy,Antelope Union High School District (4506),Wellton,10,,No
