school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Butte Elementary,Matanuska-Susitna Borough School District,Palmer,263,101,Yes participating without using any Provision or the CEO
Campbell STEM Elementary,Anchorage School District,Anchorage,323,,Yes participating without using any Provision or the CEO
Cantwell School,Denali Borough School District,Cantwell,14,,No
Central Middle School of Science,Anchorage School District,Anchorage,545,432,Yes under Community Eligibility Option (CEO)
Chapman School,Kenai Peninsula Borough School District,Anchor Point,168,86,Yes participating without using any Provision or the CEO
Chaputnguak School,Lower Kuskokwim School District,Chefornak,133,138,Yes under Community Eligibility Option (CEO)
Charles R. Leask Sr. Middle School,Annette Island School District,Metlakatla,73,70,Yes under Community Eligibility Option (CEO)
Chatham Correspondence,Chatham School District,Angoon,19,,No
Chenega School,Chugach School District,Chenega Bay,9,,No
Chester Valley Elementary,Anchorage School District,Anchorage,191,167,Yes under Community Eligibility Option (CEO)
Chevak School,Kashunamiut School District,Chevak,320,328,Yes under Community Eligibility Option (CEO)
Chief Ivan Blunka School,Southwest Region School District,New Stuyahok,133,135,Yes under Community Eligibility Option (CEO)
Chief Paul Memorial School,Lower Kuskokwim School District,Kipnuk,222,221,Yes under Community Eligibility Option (CEO)
Chignik Lagoon School,Lake and Peninsula Borough School District,Chignik Lagoon,15,14,Yes under Community Eligibility Option (CEO)
Chignik Lake School,Lake and Peninsula Borough School District,Chignik Lake,26,10,Yes under Community Eligibility Option (CEO)
Chiniak School,Kodiak Island Borough School District,Chiniak,17,13,Yes under Community Eligibility Option (CEO)
Chinook Elementary,Anchorage School District,Anchorage,365,267,Yes under Community Eligibility Option (CEO)
Chinook Montessori Charter School,Fairbanks North Star Borough School District,Fairbanks,158,,No
Chugach Optional Elementary,Anchorage School District,Anchorage,275,32,Yes participating without using any Provision or the CEO
Chugiak Elementary,Anchorage School District,Chugiak,439,77,Yes participating without using any Provision or the CEO
Chugiak High School,Anchorage School District,Chugiak,928,170,Yes participating without using any Provision or the CEO
Clark Middle School,Anchorage School District,Anchorage,713,719,Yes under Community Eligibility Option (CEO)
Clarks Point School,Southwest Region School District,Clarks Point,14,14,Yes under Community Eligibility Option (CEO)
College Gate Elementary,Anchorage School District,Anchorage,363,236,Yes under Community Eligibility Option (CEO)
Colony High School,Matanuska-Susitna Borough School District,Palmer,1046,327,Yes participating without using any Provision or the CEO
Colony Middle School,Matanuska-Susitna Borough School District,Palmer,771,237,Yes participating without using any Provision or the CEO
Connections,Kenai Peninsula Borough School District,Soldotna,1188,,No
Cooper Landing School,Kenai Peninsula Borough School District,Cooper Landing,16,,No
Cordova Jr/Sr High School,Cordova City School District,Cordova,126,83,Yes under Community Eligibility Option (CEO)
Cordova School District Innovative Learning,Cordova City School District,Cordova,1,,No
Cottonwood Creek Elementary,Matanuska-Susitna Borough School District,Wasilla,422,160,Yes participating without using any Provision or the CEO
Craig Elementary,Craig City School District,Craig,82,119,Yes under Community Eligibility Option (CEO)
Craig High School,Craig City School District,Craig,67,47,Yes under Community Eligibility Option (CEO)
Craig Middle School,Craig City School District,Craig,52,,No
Creekside Park Elementary,Anchorage School District,Anchorage,399,335,Yes under Community Eligibility Option (CEO)
Crow Village Sam School,Kuspuk School District,Chuathbaluk,18,10,Yes under Community Eligibility Option (CEO)
Cruikshank School,Yukon Flats School District,Beaver,16,15,Yes under Community Eligibility Option (CEO)
Cyberlynx Correspondence Program,Nenana City School District,Nenana,2085,,No
David Louis Memorial School,Iditarod Area School District,Grayling,36,,No
Davis-Ramoth School,Northwest Arctic Borough School District,Selawik,252,249,Yes under Community Eligibility Option (CEO)
Deering School,Northwest Arctic Borough School District,Deering,57,57,Yes under Community Eligibility Option (CEO)
Delta Junction Elementary,Delta/Greely School District,Delta Junction,306,115,Yes participating without using any Provision or the CEO
Delta Junction Junior High School,Delta/Greely School District,Delta Junction,128,33,Yes participating without using any Provision or the CEO
Delta Junction Senior High School,Delta/Greely School District,Delta Junction,126,22,Yes participating without using any Provision or the CEO
Dena'Ina Elementary School,Matanuska-Susitna Borough School District,Wasilla,396,182,Yes under Community Eligibility Option (CEO)
Denali Elementary,Fairbanks North Star Borough School District,Fairbanks,300,173,Yes participating without using any Provision or the CEO
Denali Montessori Elementary,Anchorage School District,Anchorage,361,267,Yes under Community Eligibility Option (CEO)
Denali Peak,Denali Borough School District,Healy,882,,No
Dillingham Elementary,Dillingham City School District,Dillingham,180,183,Yes under Community Eligibility Option (CEO)
Dillingham Middle/High School,Dillingham City School District,Dillingham,223,225,Yes under Community Eligibility Option (CEO)
Dimond High School,Anchorage School District,Anchorage,1373,383,Yes participating without using any Provision or the CEO
Diomede School,Bering Strait School District,Diomede,22,20,Yes under Community Eligibility Option (CEO)
Discovery Peak Charter School,Fairbanks North Star Borough School District,North Pole,193,37,Yes participating without using any Provision or the CEO
Distance Learning/Corresp. Ctr.,Iditarod Area School District,Eagle River,105,,No
Dot Lake School,Alaska Gateway School District,Dot Lake,13,13,Yes under Community Eligibility Option (CEO)
Dr. Etheldra Davis Fairview Elementary,Anchorage School District,Anchorage,337,353,Yes under Community Eligibility Option (CEO)
Eagle Academy Charter School,Anchorage School District,Eagle River,205,,No
Eagle Community School,Alaska Gateway School District,Eagle,12,12,Yes under Community Eligibility Option (CEO)
Eagle River Elementary,Anchorage School District,Eagle River,266,81,Yes participating without using any Provision or the CEO
Eagle River High School,Anchorage School District,Eagle River,771,108,Yes participating without using any Provision or the CEO
Eagle's View Elementary School,Unalaska City School District,Unalaska,163,26,Yes participating without using any Provision or the CEO
Earla Hutchinson School,Yukon Flats School District,Circle,16,15,Yes under Community Eligibility Option (CEO)
East Elementary,Kodiak Island Borough School District,Kodiak,289,157,Yes participating without using any Provision or the CEO
Eben Hopson Middle School,North Slope Borough School District,Utqiagvik,214,92,Yes under Community Eligibility Option (CEO)
Eek School,Lower Kuskokwim School District,Eek,98,95,Yes under Community Eligibility Option (CEO)
Effie Kokrine Charter School,Fairbanks North Star Borough School District,Fairbanks,139,83,Yes participating without using any Provision or the CEO
Ella B. Vernetti School,Yukon-Koyukuk School District,Koyukuk,11,8,Yes under Community Eligibility Option (CEO)
Emmonak School,Lower Yukon School District,Emmonak,236,226,Yes under Community Eligibility Option (CEO)
Evergreen Elementary,Wrangell Public School District,Wrangell,134,,No
Extensions Correspondence,Nome Public Schools,Nome,32,,No
Fairbanks B.e.s.t.,Fairbanks North Star Borough School District,Fairbanks,784,,No
False Pass School,Aleutians East Borough School District,False Pass,10,,No
Family Partnership Correspondence School,Anchorage School District,Anchorage,1008,,No
Fast Track,Ketchikan Gateway Borough School District,Ketchikan,76,,No
