school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Garrison School,Dover School District,Dover,353,51,Yes participating without using any Provision or the CEO
Gate City Charter School for the Arts,Gate City Charter School For the Arts,Merrimack,160,49,No
Gathering Waters Charter School (E),Gathering Waters Charter School,Keene,219,53,No
Gathering Waters Charter School (H),Gathering Waters Charter School,Keene,67,16,No
Gilbert H. Hood Middle School,Derry Cooperative School District,Derry,696,171,Yes participating without using any Provision or the CEO
Gilford Elementary School,Gilford School District,Gilford,303,38,Yes participating without using any Provision or the CEO
Gilford High School,Gilford School District,Gilford,470,53,Yes participating without using any Provision or the CEO
Gilford Middle School,Gilford School District,Gilford,277,44,Yes participating without using any Provision or the CEO
Gilmanton Elementary School,Gilmanton School District,Gilmanton IW,335,64,Yes participating without using any Provision or the CEO
Gilsum STEAM Academy,Monadnock Regional School District,Gilsum,50,19,Yes participating without using any Provision or the CEO
Glen Lake School,Goffstown School District,Goffstown,194,19,No
Goffstown High School,Goffstown School District,Goffstown,1008,105,Yes participating without using any Provision or the CEO
Golden Brook Elementary School,Windham School District,Windham,1113,30,Yes participating without using any Provision or the CEO
Gonic School,Rochester School District,Gonic,211,82,Yes participating without using any Provision or the CEO
Gorham High School,Gorham Randolph Shelburne Cooperative School District,Gorham,149,34,Yes participating without using any Provision or the CEO
Gorham Middle School,Gorham Randolph Shelburne Cooperative School District,Gorham,80,26,Yes participating without using any Provision or the CEO
Gossler Park School,Manchester School District,Manchester,366,227,Yes participating without using any Provision or the CEO
Grantham Village School,Grantham School District,Grantham,258,11,Yes participating without using any Provision or the CEO
Great Bay Charter School (H),Great Bay Charter School,Exeter,94,21,No
Great Bay Charter School (M),Great Bay Charter School,Exeter,60,18,No
Great Brook School,Contoocook Valley School District,Antrim,224,62,Yes participating without using any Provision or the CEO
Green Acres School,Manchester School District,Manchester,343,77,Yes participating without using any Provision or the CEO
Greenfield Elementary School,Contoocook Valley School District,Greenfield,91,20,Yes participating without using any Provision or the CEO
Greenland Central School,Greenland School District,Greenland,367,16,Yes participating without using any Provision or the CEO
Griffin Memorial School,Litchfield School District,Litchfield,428,61,Yes participating without using any Provision or the CEO
Grinnell School,Derry Cooperative School District,Derry,338,108,Yes participating without using any Provision or the CEO
Groveton Elementary School,Northumberland School District,Groveton,116,59,Yes participating without using any Provision or the CEO
Groveton High School,Northumberland School District,Groveton,121,32,Yes participating without using any Provision or the CEO
Groveton High School (Middle),Northumberland School District,Groveton,79,34,Yes participating without using any Provision or the CEO
Hampstead Central School,Hampstead School District,Hampstead,470,46,Yes participating without using any Provision or the CEO
Hampstead Middle School,Hampstead School District,Hampstead,352,43,Yes participating without using any Provision or the CEO
Hampton Academy,Hampton School District,Hampton,313,61,Yes participating without using any Provision or the CEO
Hampton Centre School,Hampton School District,Hampton,282,48,Yes participating without using any Provision or the CEO
Hancock Elementary School,Contoocook Valley School District,Hancock,70,14,Yes participating without using any Provision or the CEO
Hanover High School,Dresden School District,Hanover,674,37,No
Hanover Street School,Lebanon School District,Lebanon,316,80,Yes participating without using any Provision or the CEO
Harold Martin School,Hopkinton School District,Hopkinton,269,28,Yes participating without using any Provision or the CEO
Haverhill Cooperative Middle School,Haverhill Cooperative School District,North Haverhill,229,78,Yes participating without using any Provision or the CEO
Heartwood Public Charter School,Heartwood Public Charter School,Jefferson,89,29,No
Henniker Community School,Henniker School District,Henniker,402,86,Yes participating without using any Provision or the CEO
Henry J. McLaughlin Jr. Middle School,Manchester School District,Manchester,889,378,Yes participating without using any Provision or the CEO
Henry W. Moore School,Candia School District,Candia,272,35,Yes participating without using any Provision or the CEO
Henry Wilson Memorial School,Farmington School District,Farmington,271,126,Yes participating without using any Provision or the CEO
Heron Pond Elementary School,Milford School District,Milford,552,124,Yes participating without using any Provision or the CEO
Highbridge Hill Elementary School,Mascenic Regional School District,New Ipswich,363,99,Yes participating without using any Provision or the CEO
Highland-Goffes Falls School,Manchester School District,Manchester,336,110,Yes participating without using any Provision or the CEO
Hills Garrison Elementary School,Hudson School District,Hudson,354,58,Yes participating without using any Provision or the CEO
Hillsboro-Deering Elementary School,Hillsboro-Deering Cooperative School District,Hillsborough,418,167,Yes participating without using any Provision or the CEO
Hillsboro-Deering High School,Hillsboro-Deering Cooperative School District,Hillsborough,334,121,Yes participating without using any Provision or the CEO
Hillsboro-Deering Middle School,Hillsboro-Deering Cooperative School District,Hillsborough,229,89,Yes participating without using any Provision or the CEO
Hillside Middle School,Manchester School District,Manchester,1071,516,Yes participating without using any Provision or the CEO
Hinsdale Elementary School,Hinsdale School District,Hinsdale,242,103,Yes participating without using any Provision or the CEO
Hinsdale High School,Hinsdale School District,Hinsdale,155,61,Yes participating without using any Provision or the CEO
Hinsdale Middle High School,Hinsdale School District,Hinsdale,121,52,Yes participating without using any Provision or the CEO
Holderness Central School,Holderness School District,Holderness,156,28,Yes participating without using any Provision or the CEO
Hollis Primary School,Hollis School District,Hollis,391,12,Yes participating without using any Provision or the CEO
Hollis Upper Elementary School,Hollis School District,Hollis,277,9,Yes participating without using any Provision or the CEO
Hollis-Brookline High School,Hollis-Brookline Cooperative School District,Hollis,745,17,Yes participating without using any Provision or the CEO
Hollis-Brookline Middle School,Hollis-Brookline Cooperative School District,Hollis,369,13,Yes participating without using any Provision or the CEO
Hooksett Memorial School,Hooksett School District,Hooksett,431,71,Yes participating without using any Provision or the CEO
Hopkinton High School,Hopkinton School District,Contoocook,284,20,Yes participating without using any Provision or the CEO
Hopkinton Middle School,Hopkinton School District,Contoocook,165,8,Yes participating without using any Provision or the CEO
Hudson Memorial School,Hudson School District,Hudson,648,119,Yes participating without using any Provision or the CEO
Iber Holmes Gove Middle School,Raymond School District,Raymond,413,118,Yes participating without using any Provision or the CEO
Idlehurst Elementary School,Somersworth School District,Somersworth,341,119,Yes participating without using any Provision or the CEO
Indian River School,Mascoma Valley Regional School District,Canaan,292,70,Yes participating without using any Provision or the CEO
Inter-Lakes Elementary School,Inter-Lakes Cooperative School District,Meredith,397,131,Yes participating without using any Provision or the CEO
Inter-Lakes High School,Inter-Lakes Cooperative School District,Meredith,294,75,Yes participating without using any Provision or the CEO
Inter-Lakes Middle School,Inter-Lakes Cooperative School District,Meredith,137,41,Yes participating without using any Provision or the CEO
Jackson Grammar School,Jackson School District,Jackson,37,4,Yes participating without using any Provision or the CEO
Jacques Memorial Elementary School,Milford School District,Milford,276,38,Yes participating without using any Provision or the CEO
Jaffrey Grade School,Jaffrey-Rindge Cooperative School District,Jaffrey,250,83,Yes participating without using any Provision or the CEO
James Faulkner Elementary School,Stoddard School District,Stoddard,46,14,Yes participating without using any Provision or the CEO
James Mastricola Elementary School,Merrimack School District,Merrimack,375,41,Yes participating without using any Provision or the CEO
James Mastricola Upper Elementary School,Merrimack School District,Merrimack,533,75,Yes participating without using any Provision or the CEO
Jennie D. Blake School,Hill School District,Hill,63,27,Yes participating without using any Provision or the CEO
Jewett School,Manchester School District,Manchester,443,170,Yes participating without using any Provision or the CEO
John D. Perkins Academy,Marlow School District,Marlow,55,20,Yes participating without using any Provision or the CEO
John Stark Regional High School,John Stark Regional School District,Weare,612,93,Yes participating without using any Provision or the CEO
Jonathan Daniels School,Keene School District,Keene,93,23,No
Josiah Bartlett Elementary School,Bartlett School District,Bartlett,165,57,Yes participating without using any Provision or the CEO
Kearsarge Reg. Elem. School at New London,Kearsarge Regional School District,New London,330,37,Yes participating without using any Provision or the CEO
Kearsarge Reg. Elementary School - Bradford,Kearsarge Regional School District,Bradford,177,42,Yes participating without using any Provision or the CEO
Kearsarge Regional High School,Kearsarge Regional School District,North Sutton,485,40,Yes participating without using any Provision or the CEO
Kearsarge Regional Middle School,Kearsarge Regional School District,North Sutton,410,52,Yes participating without using any Provision or the CEO
Kearsarge Regional Preschool Bradford,Kearsarge Regional School District,Bradford,29,6,Yes participating without using any Provision or the CEO
Kearsarge Regional Preschool New London,Kearsarge Regional School District,New London,22,6,Yes participating without using any Provision or the CEO
Keene High School,Keene School District,Keene,1288,302,Yes participating without using any Provision or the CEO
Keene Middle School,Keene School District,Keene,626,199,Yes participating without using any Provision or the CEO
Kenneth A. Brett School,Tamworth School District,Tamworth,165,85,Yes participating without using any Provision or the CEO
Kennett High School,Conway School District,North Conway,642,174,Yes participating without using any Provision or the CEO
Kensington Elementary School,Kensington School District,Kensington,142,11,Yes participating without using any Provision or the CEO
Kingswood Regional High School,Governor Wentworth Regional School District,Wolfeboro,729,194,Yes participating without using any Provision or the CEO
Kingswood Regional Middle School,Governor Wentworth Regional School District,Wolfeboro,345,113,Yes participating without using any Provision or the CEO
Kreiva Academy Public Charter School (H),Kreiva Academy Public Charter School,Manchester,76,63,No
Kreiva Academy Public Charter School (M),Kreiva Academy Public Charter School,Manchester,42,30,No
Laconia High School,Laconia School District,Laconia,562,195,Yes participating without using any Provision or the CEO
Laconia Middle School,Laconia School District,Laconia,414,178,Yes participating without using any Provision or the CEO
Lafayette Regional School,Lafayette Regional School District,Franconia,98,13,Yes participating without using any Provision or the CEO
Lakeside Primary School,Conway School District,Center Conway,210,84,Yes participating without using any Provision or the CEO
Lamprey River Elementary School,Raymond School District,Raymond,333,84,Yes participating without using any Provision or the CEO
Lancaster Elementary School,White Mountains Regional School District,Lancaster,310,129,Yes participating without using any Provision or the CEO
Landaff Blue School,Landaff School District,Landaff,22,3,Yes participating without using any Provision or the CEO
Lebanon High School,Lebanon School District,Lebanon,606,84,Yes participating without using any Provision or the CEO
Lebanon Middle School,Lebanon School District,Lebanon,464,117,Yes participating without using any Provision or the CEO
Ledge Street School,Nashua School District,Nashua,454,331,Yes participating without using any Provision or the CEO
Ledyard Charter School,Ledyard Charter School,Lebanon,49,28,Yes participating without using any Provision or the CEO
Lempster Community School,Lempster School District,Lempster,132,57,Yes participating without using any Provision or the CEO
Library Street School,Hudson School District,Hudson,190,36,Yes participating without using any Provision or the CEO
Lin-Wood Public School (Elem),Lincoln-Woodstock Cooperative School District,Lincoln,101,37,Yes participating without using any Provision or the CEO
Lin-Wood Public School (High),Lincoln-Woodstock Cooperative School District,Lincoln,82,21,Yes participating without using any Provision or the CEO
Lin-Wood Public School (Middle),Lincoln-Woodstock Cooperative School District,Lincoln,58,11,Yes participating without using any Provision or the CEO
Lincoln Akerman School,Hampton Falls School District,Hampton Falls,190,8,Yes participating without using any Provision or the CEO
Lincoln Street Elementary School,Exeter School District,Exeter,401,62,Yes participating without using any Provision or the CEO
Lionheart Classical Academy Chartered Public School,Lionheart Classical Academy Chartered Public School,Peterborough,311,18,No
Lisbon Regional School (Elem),Lisbon Regional School District,Lisbon,106,37,Yes participating without using any Provision or the CEO
Lisbon Regional School (High),Lisbon Regional School District,Lisbon,84,28,Yes participating without using any Provision or the CEO
Lisbon Regional School (Middle),Lisbon Regional School District,Lisbon,76,32,Yes participating without using any Provision or the CEO
Litchfield Middle School,Litchfield School District,Litchfield,344,38,Yes participating without using any Provision or the CEO
Little Harbour School,Portsmouth School District,Portsmouth,325,40,Yes participating without using any Provision or the CEO
Littleton High School,Littleton School District,Littleton,172,79,Yes participating without using any Provision or the CEO
Londonderry Middle School,Londonderry School District,Londonderry,918,132,Yes participating without using any Provision or the CEO
Londonderry Senior High School,Londonderry School District,Londonderry,1289,140,Yes participating without using any Provision or the CEO
Loudon Elementary School,Merrimack Valley School District,Loudon,243,54,Yes participating without using any Provision or the CEO
Lyme Elementary School,Lyme School District,Lyme,187,4,No
Lyndeborough Central School,Wilton-Lyndeborough Cooperative School District,Lyndeborough,39,4,Yes participating without using any Provision or the CEO
Madison Elementary School,Madison School District,Madison,129,39,Yes participating without using any Provision or the CEO
Main Dunstable School,Nashua School District,Nashua,359,51,Yes participating without using any Provision or the CEO
Main Street School,Exeter School District,Exeter,406,59,Yes participating without using any Provision or the CEO
Making Community Connections Charter School - Monadnock,Making Community Connections Charter School,Keene,80,26,No
Manchester Central High School,Manchester School District,Manchester,1130,508,Yes participating without using any Provision or the CEO
Manchester Memorial High School,Manchester School District,Manchester,1296,382,Yes participating without using any Provision or the CEO
Manchester School of Technology (High School),Manchester School District,Manchester,302,129,Yes participating without using any Provision or the CEO
Manchester West High School,Manchester School District,Manchester,764,375,Yes participating without using any Provision or the CEO
Maple Avenue School,Claremont School District,Claremont,264,130,Yes participating without using any Provision or the CEO
Maple Avenue School,Goffstown School District,Goffstown,513,53,Yes participating without using any Provision or the CEO
Maple Street Elementary School,Hopkinton School District,Contoocook,219,22,Yes participating without using any Provision or the CEO
Maple Street Magnet School,Rochester School District,Rochester,114,28,Yes participating without using any Provision or the CEO
Maple Wood Elementary School,Somersworth School District,Somersworth,285,124,Yes participating without using any Provision or the CEO
Marlborough Elementary School,Marlborough School District,Marlborough,164,70,Yes participating without using any Provision or the CEO
Mary A. Fisk Elementary School,Salem School District,Salem,272,52,Yes participating without using any Provision or the CEO
Mary C. Dondero Elementary School,Portsmouth School District,Portsmouth,328,45,Yes participating without using any Provision or the CEO
Mascenic Regional High School,Mascenic Regional School District,New Ipswich,252,40,Yes participating without using any Provision or the CEO
Mascoma Valley Regional High School,Mascoma Valley Regional School District,Canaan,303,57,Yes participating without using any Provision or the CEO
Mason Elementary School,Mason School District,Mason,106,13,Yes participating without using any Provision or the CEO
Mast Way School,Oyster River Coop School District,Lee,348,29,Yes participating without using any Provision or the CEO
Matthew Thornton Elementary School,Londonderry School District,Londonderry,537,68,Yes participating without using any Provision or the CEO
Maude H. Trefethen School,New Castle School District,New Castle,33,,No
McClelland School,Rochester School District,Rochester,310,117,Yes participating without using any Provision or the CEO
McDonough School,Manchester School District,Manchester,534,348,Yes participating without using any Provision or the CEO
McKelvie Intermediate School,Bedford School District,Bedford,619,43,Yes participating without using any Provision or the CEO
Memorial School,Bedford School District,Bedford,439,51,Yes participating without using any Provision or the CEO
