school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Baker High School,Baker SD 5J,Baker City,478,401,Yes under Community Eligibility Option (CEO),false
Baker Middle School,Baker SD 5J,Baker City,226,190,Yes under Community Eligibility Option (CEO),false
Baker Prairie Middle School,Canby SD 86,Canby,532,335,Yes under Community Eligibility Option (CEO),false
Baker Virtual Academy,Baker SD 5J,Baker City,40,,No,false
Baker Web Academy,Baker SD 5J,Baker City,3066,,No,false
Bandon Senior High School,Bandon SD 54,Bandon,212,188,Yes under Community Eligibility Option (CEO),false
Banks Elementary School,Banks SD 13,Banks,430,208,Yes under Community Eligibility Option (CEO),false
Banks High School,Banks SD 13,Banks,397,120,Yes under Community Eligibility Option (CEO),false
Banks Middle School,Banks SD 13,Banks,254,190,Yes under Community Eligibility Option (CEO),false
Barnes Butte Elementary,Crook County SD,Prineville,510,405,Yes under Community Eligibility Option (CEO),false
Barnes Elementary School,Beaverton SD 48J,Beaverton,451,244,Yes under Community Eligibility Option (CEO),false
Battle Creek Elementary School,Salem-Keizer SD 24J,Salem,426,380,Yes under Community Eligibility Option (CEO),false
Beach Elementary School,Portland SD 1J,Portland,295,124,Yes under Community Eligibility Option (CEO),false
Bear Creek Elementary School,Bend-LaPine Administrative SD 1,Bend,521,507,Yes under Community Eligibility Option (CEO),false
Beatrice Morrow Cannady Elementary,North Clackamas SD 12,Damascus,506,295,Yes under Community Eligibility Option (CEO),false
Beaumont Middle School,Portland SD 1J,Portland,435,182,Yes under Community Eligibility Option (CEO),false
Beaver Acres Elementary School,Beaverton SD 48J,Beaverton,778,407,Yes under Community Eligibility Option (CEO),false
Beavercreek Elementary School,Oregon City SD 62,Beavercreek,458,250,Yes under Community Eligibility Option (CEO),false
Beaverton Academy of Science and Engineering,Beaverton SD 48J,Hillsboro,852,496,Yes under Community Eligibility Option (CEO),false
Beaverton High School,Beaverton SD 48J,Beaverton,1436,713,Yes under Community Eligibility Option (CEO),false
Bellview Elementary School,Ashland SD 5,Ashland,248,159,Yes under Community Eligibility Option (CEO),false
Bend International School,Bend-LaPine Administrative SD 1,Bend,217,70,Yes under Provision 2,false
Bend Senior High School,Bend-LaPine Administrative SD 1,Bend,1204,582,Yes under Community Eligibility Option (CEO),false
Bend Tech Academy,Bend-LaPine Administrative SD 1,Bend,116,54,Yes under Community Eligibility Option (CEO),true
Benson Polytechnic High School,Portland SD 1J,Portland,896,376,Yes under Community Eligibility Option (CEO),false
Bessie Coleman Elementary School,Corvallis SD 509J,Corvallis,351,202,Yes under Community Eligibility Option (CEO),false
Bethany Charter School,Silver Falls SD 4J,Silverton,136,,No,false
Bethany Elementary School,Beaverton SD 48J,Beaverton,413,212,Yes under Community Eligibility Option (CEO),false
Beverly Cleary School,Portland SD 1J,Portland,535,223,Yes under Community Eligibility Option (CEO),false
Big Muddy Elementary,Jefferson County SD 509J,Antelope,3,,No,false
Bilquist Elementary School,North Clackamas SD 12,Milwaukie,373,218,Yes under Community Eligibility Option (CEO),false
Black Butte Elementary School,Black Butte SD 41,Camp Sherman,24,,No,false
Blodgett Elementary School,Philomath SD 17J,Blodgett,32,15,Yes under Community Eligibility Option (CEO),false
Boeckman Creek Primary School,West Linn-Wilsonville SD 3J,Wilsonville,488,215,Yes under Community Eligibility Option (CEO),false
Bohemia Elementary School,South Lane SD 45J3,Cottage Grove,443,297,Yes under Community Eligibility Option (CEO),false
Boise-Eliot Elementary School,Portland SD 1J,Portland,313,335,Yes under Community Eligibility Option (CEO),false
Bolton Primary School,West Linn-Wilsonville SD 3J,West Linn,222,47,Yes under Provision 2,false
Bonanza Elementary School,Klamath County SD,Bonanza,206,191,Yes under Community Eligibility Option (CEO),false
Bonanza Junior/Senior High School,Klamath County SD,Bonanza,222,209,Yes under Community Eligibility Option (CEO),true
Bonny Slope Elementary School,Beaverton SD 48J,Portland,602,305,Yes under Community Eligibility Option (CEO),false
Boones Ferry Primary School,West Linn-Wilsonville SD 3J,Wilsonville,427,188,Yes under Community Eligibility Option (CEO),false
Boring Middle School,Oregon Trail SD 46,Boring,427,256,Yes under Community Eligibility Option (CEO),false
Bridge Charter Academy,Lowell SD 71,Lowell,546,,No,false
Bridgeport Elementary School,Tigard-Tualatin SD 23J,Tualatin,531,307,Yes under Community Eligibility Option (CEO),false
Bridger Creative Science School,Portland SD 1J,Portland,474,200,Yes under Community Eligibility Option (CEO),false
Bridges High School,Jefferson County SD 509J,Madras,62,56,Yes under Community Eligibility Option (CEO),true
Bridlemile Elementary School,Portland SD 1J,Portland,418,175,Yes under Community Eligibility Option (CEO),false
Briggs Middle School,Springfield SD 19,Springfield,419,421,Yes under Community Eligibility Option (CEO),false
Brixner Junior High School,Klamath County SD,Klamath Falls,396,368,Yes under Community Eligibility Option (CEO),false
Brockway Elementary School,Winston-Dillard SD 116,Winston,224,206,Yes under Community Eligibility Option (CEO),false
Brookings-Harbor High School,Brookings-Harbor SD 17C,Brookings,422,376,Yes under Community Eligibility Option (CEO),false
Brooklyn Primary School,Baker SD 5J,Baker City,249,204,Yes under Community Eligibility Option (CEO),false
Brookwood Elementary School,Hillsboro SD 1J,Hillsboro,331,239,Yes under Community Eligibility Option (CEO),false
Brothers Elementary School,Crook County SD,Brothers,7,,Yes under Community Eligibility Option (CEO),false
Brush College Elementary School,Salem-Keizer SD 24J,Salem,250,222,Yes under Community Eligibility Option (CEO),false
Buckingham Elementary School,Bend-LaPine Administrative SD 1,Bend,340,163,Yes under Community Eligibility Option (CEO),false
Buckman Elementary School,Portland SD 1J,Portland,306,129,Yes under Community Eligibility Option (CEO),false
Buena Vista Elementary School,Eugene SD 4J,Eugene,420,278,Yes under Community Eligibility Option (CEO),false
Buff Elementary School,Jefferson County SD 509J,Madras,297,302,Yes under Community Eligibility Option (CEO),false
