school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Edison (Thomas A.) Charter School,Edison (Thomas A.) Charter School,Wilmington,557,,Yes under Community Eligibility Option (CEO),true
Eisenberg (Harry O.) Elementary School,Colonial School District,New Castle,436,,Yes under Community Eligibility Option (CEO),false
Ennis (Howard T.) School,Indian River School District,Georgetown,340,,Yes participating without using any Provision or the CEO,false
F. Niel Postlethwait Middle School,Caesar Rodney School District,Camden,647,,Yes participating without using any Provision or the CEO,false
Fairview Elementary School,Capital School District,Dover,287,,Yes under Community Eligibility Option (CEO),false
First State Military Academy,First State Military Academy,Clayton,433,,Yes participating without using any Provision or the CEO,true
First State Montessori Academy,First State Montessori Academy,Wilmington,657,,Yes participating without using any Provision or the CEO,true
First State School,Red Clay Consolidated School District,Wilmington,21,,Yes participating without using any Provision or the CEO,false
Forest Oak Elementary School,Red Clay Consolidated School District,Newark,429,,Yes under Community Eligibility Option (CEO),false
Forwood Elementary School,Brandywine School District,Wilmington,384,,Yes participating without using any Provision or the CEO,false
Fred Fifer III Middle School,Caesar Rodney School District,Camden,839,,Yes participating without using any Provision or the CEO,false
Frederick D Thomas Middle School,Cape Henlopen School District,Lewes,451,,Yes participating without using any Provision or the CEO,false
Frederick Douglass Elementary School,Seaford School District,Seaford,456,,Yes under Community Eligibility Option (CEO),false
Freire Charter School,Freire Charter School Wilmington,Wilmington,406,,Yes under Community Eligibility Option (CEO),true
Gallaher (Robert S.) Elementary School,Christina School District,Newark,469,,Yes participating without using any Provision or the CEO,false
Gateway Charter School,Gateway Charter School,Wilmington,211,,Yes under Community Eligibility Option (CEO),true
Gauger-Cobbs Middle School,Christina School District,Newark,681,,Yes under Community Eligibility Option (CEO),true
Georgetown Elementary School,Indian River School District,Georgetown,825,,Yes participating without using any Provision or the CEO,false
Georgetown Middle School,Indian River School District,Georgetown,861,,Yes participating without using any Provision or the CEO,true
Glasgow High School,Christina School District,Newark,908,,Yes participating without using any Provision or the CEO,true
Great Oaks Charter School,Great Oaks Charter School,Wilmington,149,,Yes under Community Eligibility Option (CEO),true
H. O. Brittingham Elementary School,Cape Henlopen School District,Milton,506,,Yes participating without using any Provision or the CEO,false
Hanby Elementary School,Brandywine School District,Wilmington,520,,Yes participating without using any Provision or the CEO,false
Harlan (David W. ) Elementary School,Brandywine School District,Wilmington,322,,Yes under Community Eligibility Option (CEO),false
Hartly Elementary School,Capital School District,Hartly,240,,Yes under Community Eligibility Option (CEO),false
Heritage Elementary School,Red Clay Consolidated School District,Wilmington,492,,Yes participating without using any Provision or the CEO,false
Hodgson (Paul M.) Vocational Technical High School,New Castle County Vocational-Technical School District,Newark,1104,,Yes participating without using any Provision or the CEO,false
Howard High School of Technology,New Castle County Vocational-Technical School District,Wilmington,905,,Yes participating without using any Provision or the CEO,true
Indian River High School,Indian River School District,Dagsboro,1073,,Yes participating without using any Provision or the CEO,true
Indian River Intensive Learning Center,Indian River School District,Selbyville,156,,Yes participating without using any Provision or the CEO,false
J. Ralph McIlvaine Early Childhood Center,Caesar Rodney School District,Magnolia,454,,Yes participating without using any Provision or the CEO,false
John S. Charlton School,Caesar Rodney School District,Camden,424,,Yes participating without using any Provision or the CEO,false
Johnson (Joseph E. Jr) Elementary School,Red Clay Consolidated School District,Wilmington,276,,Yes under Community Eligibility Option (CEO),false
Jones (Albert H.) Elementary School,Christina School District,Newark,329,,Yes under Community Eligibility Option (CEO),false
Keene (William B.) Elementary School,Christina School District,Newark,408,,Yes participating without using any Provision or the CEO,false
Kent County Community School,Capital School District,Dover,274,,Yes under Community Eligibility Option (CEO),false
Kent County Secondary Ilc,Capital School District,Dover,107,,Yes under Community Eligibility Option (CEO),false
Kent Elementary Intensive Learning Center,Caesar Rodney School District,Camden,1,,Yes participating without using any Provision or the CEO,false
Kirk (George V.) Middle School,Christina School District,Newark,612,,Yes participating without using any Provision or the CEO,true
Kuumba Academy Charter School,Kuumba Academy Charter School,Wilmington,594,,Yes under Community Eligibility Option (CEO),true
Lake Forest Central Elementary School,Lake Forest School District,Felton,604,,Yes under Community Eligibility Option (CEO),false
Lake Forest East Elementary School,Lake Forest School District,Frederica,353,,Yes under Community Eligibility Option (CEO),false
Lake Forest High School,Lake Forest School District,Felton,951,,Yes under Community Eligibility Option (CEO),true
Lake Forest North Elementary School,Lake Forest School District,Felton,424,,Yes under Community Eligibility Option (CEO),false
Lake Forest South Elementary School,Lake Forest School District,Harrington,407,,Yes under Community Eligibility Option (CEO),false
Lancashire Elementary School,Brandywine School District,Wilmington,510,,Yes participating without using any Provision or the CEO,false
Laurel Elementary School,Laurel School District,Laurel,1145,,Yes participating without using any Provision or the CEO,false
