school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Carl J Lamb School,Sanford Public Schools,Springvale,436,257,Yes under Community Eligibility Option (CEO)
Carmel Elementary School,Rsu 87/Msad 23,Carmel,158,62,Yes under Provision 2
Carrabec Community School,Rsu 74/Msad 74,North Anson,225,167,Yes under Community Eligibility Option (CEO)
Carrabec High School,Rsu 74/Msad 74,North Anson,174,111,Yes under Community Eligibility Option (CEO)
Carrie Ricker School,Rsu 04,Litchfield,174,88,Yes under Provision 2
Cascade Brook School,Rsu 09,Farmington,297,177,Yes under Provision 2
Casco Bay High School,Portland Public Schools,Portland,379,204,Yes under Provision 2
Cave Hill Sch,Rsu 24,Eastbrook,61,31,Yes under Community Eligibility Option (CEO)
Center Drive School,Orrington Public Schools,Orrington,346,107,Yes participating without using any Provision or the CEO
Central Aroostook Jr-Sr H S,Rsu 42/Msad 42,Mars Hill,157,83,Yes participating without using any Provision or the CEO
Central Community Elementary School,Rsu 64/Msad 64,Corinth,488,301,Yes under Provision 2
Central High School,Rsu 64/Msad 64,Corinth,303,141,Yes under Provision 2
Central Middle School,Rsu 64/Msad 64,Corinth,230,119,Yes under Provision 2
Central School,Rsu 35/Msad 35,South Berwick,402,79,Yes participating without using any Provision or the CEO
Chebeague Island School,Chebeague Island Public Schools,Chebeague Island,14,5,Yes participating without using any Provision or the CEO
Chelsea Elementary School,Rsu 12,Chelsea,262,142,Yes under Provision 2
Cherryfield Elementary,Cherryfield Public Schools,Cherryfield,110,77,Yes under Provision 2
China Middle School,Rsu 18,China,170,64,Yes participating without using any Provision or the CEO
China Primary School,Rsu 18,China,242,96,Yes participating without using any Provision or the CEO
Cliff Island School,Portland Public Schools,Cliff Island,3,,Yes under Community Eligibility Option (CEO)
Clinton Elementary School,Rsu 49/Msad 49,Clinton,252,131,Yes participating without using any Provision or the CEO
Coastal Ridge Elementary,York Public Schools,York,332,65,Yes under Provision 2
Congin School,Westbrook Public Schools,Westbrook,335,184,Yes under Community Eligibility Option (CEO)
Conners-Emerson School,Bar Harbor Public Schools,Bar Harbor,346,72,Yes participating without using any Provision or the CEO
Connor Consolidated School,Education in Unorganized Terr,Connor Twp,26,11,Yes under Community Eligibility Option (CEO)
Cony,Augusta Public Schools,Augusta,662,286,Yes under Provision 2
Cony Middle School,Augusta Public Schools,Augusta,321,180,Yes under Provision 2
Cranberry Isles School,Cranberry Isles Public Schools,Cranberry Isles,5,,No
Creative Childrens Academy,Community Regional Charter School,Skowhegan,38,28,Yes participating without using any Provision or the CEO
Crescent Park School,Rsu 44/Msad 44,Bethel,263,127,Yes under Provision 2
Crooked River Elementary,Rsu 61/Msad 61,Casco,195,110,Yes participating without using any Provision or the CEO
Cushing Community School,Rsu 13,Cushing,74,41,Yes under Provision 2
Daniel W Merritt School,Rsu 37/Msad 37,Addison,89,55,Yes participating without using any Provision or the CEO
Dawn F Barnes Elementary Sch,Caswell Public Schools,Caswell,45,39,Yes under Community Eligibility Option (CEO)
Day Mountain Regional Middle School,Rsu 58/Msad 58,Strong,141,98,Yes under Provision 2
Dayton Consolidated School,Dayton Public Schools,Dayton,128,46,Yes under Provision 2
Dedham School,Dedham Public Schools,Dedham,167,40,Yes participating without using any Provision or the CEO
Deer Isle-Stonington Elementary Sch,Deer Isle-Stonington CSD,Deer Isle,249,146,Yes participating without using any Provision or the CEO
Deer Isle-Stonington High Sch,Deer Isle-Stonington CSD,Deer Isle,94,46,Yes participating without using any Provision or the CEO
Deering High School,Portland Public Schools,Portland,850,559,Yes under Community Eligibility Option (CEO)
Dexter Regional High School,Msad 46,Dexter,277,199,Yes under Community Eligibility Option (CEO)
Dike-Newell School,Rsu 01 - Lkrsu,Bath,225,119,Yes under Provision 2
Dimensions Academy,Community Regional Charter School,Cornville,177,128,Yes participating without using any Provision or the CEO
Dirigo Elementary School,Rsu 56,Peru,324,184,Yes participating without using any Provision or the CEO
Dirigo High School,Rsu 56,Dixfield,216,122,Yes participating without using any Provision or the CEO
Dora L Small Elementary School,South Portland Public Schools,South Portland,193,54,Yes under Provision 2
Downeast School,Bangor Public Schools,Bangor,288,259,Yes under Community Eligibility Option (CEO)
Dr Levesque Elementary School,Rsu 33/Msad 33,Saint Agatha,120,59,Yes under Provision 2
Dr Lewis S Libby School,Milford Public Schools,Milford,273,136,Yes under Community Eligibility Option (CEO)
Dresden Elementary School,Rsu 02,Dresden,74,39,Yes under Provision 2
Durham Community School,Rsu 05,Durham,469,77,Yes under Provision 2
Dyer Elementary School,South Portland Public Schools,South Portland,194,55,Yes under Provision 2
Earl C McGraw School,Rsu 22,Hampden,203,58,Yes participating without using any Provision or the CEO
East Auburn Community School,Auburn Public Schools,Auburn,152,70,Yes under Community Eligibility Option (CEO)
East Belfast School,Rsu 71,Belfast,99,73,Yes under Community Eligibility Option (CEO)
East End Community School,Portland Public Schools,Portland,391,302,Yes under Community Eligibility Option (CEO)
East Grand School,Rsu 84/Msad 14,Danforth,146,100,Yes under Community Eligibility Option (CEO)
East Range II CSD School,East Range CSD,Topsfield,12,3,Yes participating without using any Provision or the CEO
Easton Elementary School,Easton Public Schools,Easton,110,45,Yes under Provision 2
Easton Junior-Senior High Sch,Easton Public Schools,Easton,93,38,Yes under Provision 2
Eastport Elementary School,Eastport Public Schools,Eastport,80,46,Yes under Provision 2
Ecology Learning Ctr,Ecology Learning Center,Unity,120,43,Yes under Provision 2
