school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Barstow Elementary,Calvert County Public Schools,Prince Frederick,630,259,Yes participating without using any Provision or the CEO
Battle Grove Elementary,Baltimore County Public Schools,Baltimore,333,256,Yes under Community Eligibility Option (CEO)
Battle Monument School,Baltimore County Public Schools,Baltimore,63,33,Yes under Community Eligibility Option (CEO)
Bay View Elementary,Cecil County Public Schools,North East,506,317,Yes under Community Eligibility Option (CEO)
Bay-Brook Elementary/Middle,Baltimore City Public Schools,Baltimore,706,537,Yes under Community Eligibility Option (CEO)
Bayard Rustin Elementary,Montgomery County Public Schools,Rockville,757,315,Yes participating without using any Provision or the CEO
Bayside Elementary School,Queen Anne's County Public Schools,Stevensville,368,110,Yes participating without using any Provision or the CEO
Bcdc Educational Center,Baltimore County Public Schools,Towson,52,25,Yes participating without using any Provision or the CEO
Beach Elementary,Calvert County Public Schools,Chesapeake Beach,502,122,Yes participating without using any Provision or the CEO
Beacon Heights Elementary,Prince George's County Public Schools,Riverdale,342,314,Yes under Community Eligibility Option (CEO)
Beall Elementary,Allegany County Public Schools,Frostburg,415,253,Yes under Community Eligibility Option (CEO)
Beall Elementary,Montgomery County Public Schools,Rockville,475,131,Yes participating without using any Provision or the CEO
Bear Creek Elementary,Baltimore County Public Schools,Baltimore,461,354,Yes under Community Eligibility Option (CEO)
Beaver Run School,Wicomico County Public Schools,Salisbury,741,527,Yes under Community Eligibility Option (CEO)
Bedford Elementary,Baltimore County Public Schools,Baltimore,586,378,Yes under Community Eligibility Option (CEO)
Beechfield Elementary/Middle,Baltimore City Public Schools,Baltimore,510,448,Yes under Community Eligibility Option (CEO)
Bel Air Elementary,Harford County Public Schools,Bel Air,521,163,Yes participating without using any Provision or the CEO
Bel Air Elementary,Allegany County Public Schools,Cumberland,216,104,Yes under Community Eligibility Option (CEO)
Bel Air High,Harford County Public Schools,Bel Air,1341,305,Yes participating without using any Provision or the CEO
Bel Air Middle,Harford County Public Schools,Bel Air,1080,260,Yes participating without using any Provision or the CEO
Bel Pre Elementary,Montgomery County Public Schools,Silver Spring,558,328,Yes under Community Eligibility Option (CEO)
Belle Grove Elementary,Anne Arundel County Public Schools,Baltimore,305,271,Yes participating without using any Provision or the CEO
Bellows Spring Elementary,Howard County Public Schools,Ellicott City,806,212,Yes participating without using any Provision or the CEO
Bells Mill Elementary,Montgomery County Public Schools,Potomac,570,85,Yes participating without using any Provision or the CEO
Belmont Elementary,Baltimore City Public Schools,Baltimore,177,160,Yes under Community Eligibility Option (CEO)
Belmont Elementary,Montgomery County Public Schools,Olney,343,56,Yes participating without using any Provision or the CEO
Beltsville Academy,Prince George's County Public Schools,Beltsville,1113,1046,Yes under Community Eligibility Option (CEO)
Belvedere Elementary,Anne Arundel County Public Schools,Arnold,542,117,Yes participating without using any Provision or the CEO
Benfield Elementary,Anne Arundel County Public Schools,Severna Park,500,41,Yes participating without using any Provision or the CEO
Benjamin Banneker Elementary,St. Mary's County Public Schools,Loveville,543,199,Yes participating without using any Provision or the CEO
Benjamin Banneker Middle,Montgomery County Public Schools,Burtonsville,705,366,Yes under Community Eligibility Option (CEO)
Benjamin D. Foulois Academy,Prince George's County Public Schools,Morningside,540,226,Yes participating without using any Provision or the CEO
Benjamin Franklin High School at Masonville Cove,Baltimore City Public Schools,Baltimore,786,501,Yes under Community Eligibility Option (CEO)
Benjamin Stoddert Middle,Prince George's County Public Schools,Temple Hills,628,595,Yes under Community Eligibility Option (CEO)
Benjamin Stoddert Middle School,Charles County Public Schools,Waldorf,920,550,Yes under Community Eligibility Option (CEO)
Benjamin Tasker Middle,Prince George's County Public Schools,Bowie,1058,569,Yes participating without using any Provision or the CEO
Bennett Middle,Wicomico County Public Schools,Fruitland,963,571,Yes under Community Eligibility Option (CEO)
Berkshire Elementary,Baltimore County Public Schools,Baltimore,514,377,Yes under Community Eligibility Option (CEO)
