school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Anna Iandoli Early Learning Center,Paterson Public School District,Paterson,99,57,No
Anna L. Klein,Guttenberg School District,Guttenberg,977,809,Yes participating without using any Provision or the CEO
Anthony Rossi Elementary School,Vineland Public School District,Vineland,595,340,Yes participating without using any Provision or the CEO
Anthony V. Ceres Elementary School,Perth Amboy Public School District,Perth Amboy,559,468,Yes participating without using any Provision or the CEO
Anthony Wayne Middle School,Wayne Township Public School District,Wayne,617,74,Yes participating without using any Provision or the CEO
Applegarth Elementary School,Monroe Township School District,Monroe Twp,373,23,Yes participating without using any Provision or the CEO
Applied Technology High School,Bergen County Vocational Technical School District,Paramus,348,77,Yes participating without using any Provision or the CEO
Apshawa Elementary School,West Milford Township Public School District,West Milford,266,69,Yes participating without using any Provision or the CEO
Arbor Elementary School,Piscataway Township School District,Piscataway,528,294,Yes participating without using any Provision or the CEO
Ardena Elementary School,Howell Township Public School District,Farmingdale,374,114,Yes participating without using any Provision or the CEO
Arthur J. Holland Middle School,Trenton Public School District,Trenton,474,392,No
Arthur L. Johnson High School,Clark Township Public School District,Clark,785,79,Yes participating without using any Provision or the CEO
Arthur M. Judd,North Brunswick Township School District,North Brunswick,587,297,Yes participating without using any Provision or the CEO
Arthur P. Schalick High School,Pittsgrove Township School District,Pittsgrove,482,171,Yes participating without using any Provision or the CEO
Arthur Rann Elementary School,Galloway Township Public School District,Galloway,635,342,Yes participating without using any Provision or the CEO
Arthur Stanlick Elementary School,Jefferson Township Public School District,Lk Shawnee Jefferson Twsp,388,80,Yes participating without using any Provision or the CEO
Arts High School,Newark Public School District,Newark,611,417,Yes participating without using any Provision or the CEO
Asbury Park High School,Asbury Park School District,Asbury Park,379,256,No
Ashbrook Elementary School,Lumberton Township Board of Education,Lumberton,371,110,Yes participating without using any Provision or the CEO
Asher Holmes Elementary School,Marlboro Township School District,Morganville,444,59,Yes participating without using any Provision or the CEO
Atco Elementary School,Waterford Township School District,Atco,221,84,Yes participating without using any Provision or the CEO
Athletic Training and Physical Therapy,Morris County Vocational School District,Succasunna,62,5,No
Atlantic Avenue,HADDON HEIGHTS School District,Haddon Heights,125,11,Yes participating without using any Provision or the CEO
Atlantic City High School,Atlantic City School District,Atlantic City,1731,1436,Yes participating without using any Provision or the CEO
Atlantic Community Charter School,Atlantic Community Charter School,Galloway,333,311,No
Atlantic County Elementary and Middle Schools,Atlantic County Special Services School District,Mays Landing,200,71,No
Atlantic County High School,Atlantic County Special Services School District,Mays Landing,112,51,Yes participating without using any Provision or the CEO
Atlantic County Institute of Technology,Atlantic County Vocational School District,Mays Landing,1852,1160,No
Atlantic Highlands Elementary School,Henry Hudson Regional School District,Atlantic Highlands,282,51,No
Audubon Junior/Senior High School,Audubon Public School District,Audubon,801,210,Yes participating without using any Provision or the CEO
Audubon Park Preschool,Audubon Public School District,Audubon Park,56,6,Yes participating without using any Provision or the CEO
Augusta Preschool Academy,Irvington Public School District,Irvington,330,237,Yes participating without using any Provision or the CEO
Aura Elementary School,Elk Township School District,Glassboro,350,105,Yes participating without using any Provision or the CEO
Auten Road Intermediate School,Hillsborough Township Public School District,Hillsborough,1112,166,Yes participating without using any Provision or the CEO
Autistic Continuum,Bergen County Special Services School District,Paramus,199,36,Yes participating without using any Provision or the CEO
Avalon Elementary School,Avalon School District,Avalon,97,,No
Avenel Middle School,Woodbridge Township School District,Avenel,629,374,Yes participating without using any Provision or the CEO
Avenel Street Elementary School,Woodbridge Township School District,Avenel,403,222,Yes participating without using any Provision or the CEO
Avon Avenue School,Newark Public School District,Newark,485,377,Yes participating without using any Provision or the CEO
Avon Elementary School,Avon Boro School District,Avon,112,16,Yes participating without using any Provision or the CEO
Avon Elementary School,Barrington School District,Haddonfield,305,102,Yes participating without using any Provision or the CEO
B. Bernice Young Elementary School,Burlington Township School District,Burlington,681,301,Yes participating without using any Provision or the CEO
Baldwin Elementary School,Pennsauken Township Board of Education School District,Pennsauken,138,,Yes participating without using any Provision or the CEO
Bankbridge Regional School,Gloucester County Special Services School District,Sewell,479,79,Yes participating without using any Provision or the CEO
Barclay Brook School,Monroe Township School District,Monroe Twp,332,31,Yes participating without using any Provision or the CEO
Bard Early College High School,Newark Public School District,Newark,395,247,Yes participating without using any Provision or the CEO
Bargaintown Preschool,Egg Harbor Township School District,Egg Harbor Township,258,121,No
Barley Sheaf Elementary School,Flemington-Raritan Regional School District,Flemington,376,66,Yes participating without using any Provision or the CEO
Barnegat High School,Barnegat Township School District,Barnegat,1003,430,Yes participating without using any Provision or the CEO
Barringer High School,Newark Public School District,Newark,1894,1130,Yes participating without using any Provision or the CEO
Bartle Elementary School,Highland Park Boro School District,Highland Park,405,210,Yes participating without using any Provision or the CEO
Battle Hill Elementary,Township of Union School District,Union,414,192,Yes participating without using any Provision or the CEO
Battle Monument Intermediate School,Trenton Public School District,Trenton,499,438,Yes under Community Eligibility Option (CEO)
Bay Head Elementary,Bay Head Borough School District,Bay Head,125,,No
Bayberry School,Watchung Borough School District,Watchung,391,5,No
Bayonne Alternative High School,Bayonne School District,Bayonne,109,61,No
Bayonne High School,Bayonne School District,Bayonne,2830,1920,Yes participating without using any Provision or the CEO
Bayshore Middle School,Middletown Township Public School District,Leonardo,534,97,Yes participating without using any Provision or the CEO
Bayview Elementary School,Middletown Township Public School District,Belford,364,60,Yes participating without using any Provision or the CEO
Bayville Elementary School,Berkeley Township School District,Bayville,475,178,Yes participating without using any Provision or the CEO
Beach Haven School,Beach Haven School District,Beach Haven,56,,No
Beachwood Elementary School,Toms River Regional School District,Beachwood,480,190,Yes participating without using any Provision or the CEO
Bear Tavern Elementary School,Hopewell Valley Regional School District,Titusville,461,20,Yes participating without using any Provision or the CEO
Beatrice Gilmore School,Woodland Park School District,Woodland Park,359,172,Yes participating without using any Provision or the CEO
Bedminster Township Public School,Bedminster Township Public School District,Bedminster,412,54,Yes participating without using any Provision or the CEO
Bee Meadow School,Hanover Township School District,Whippany,294,18,No
Beechwood School,Mountainside School District,Mountainside,265,10,Yes participating without using any Provision or the CEO
Beers Street School,Hazlet Township Public School District,Hazlet,198,37,Yes participating without using any Provision or the CEO
Behavioral Continuum,Bergen County Special Services School District,Paramus,124,32,Yes participating without using any Provision or the CEO
Belhaven Middle School,Linwood City School District,Linwood,347,36,Yes participating without using any Provision or the CEO
Bell Oaks Upper Elementary School,Bellmawr Public School District,Bellmawr,441,256,Yes participating without using any Provision or the CEO
Belleville High School,Belleville Public School District,Belleville,1590,1111,Yes participating without using any Provision or the CEO
