school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Honokaa High & Intermediate School,Hawaii Department of Education,Honokaa,695,368,Yes under Community Eligibility Option (CEO),true
Honouliuli Middle School,Hawaii Department of Education,Ewa Beach,793,360,Yes participating without using any Provision or the CEO,false
Honowai Elementary School,Hawaii Department of Education,Waipahu,568,327,Yes under Community Eligibility Option (CEO),false
Hookele Elementary School,Hawaii Department of Education,Kapolei,717,197,Yes participating without using any Provision or the CEO,false
Hookena Elementary School,Hawaii Department of Education,Captain Cook,98,64,Yes under Community Eligibility Option (CEO),false
Iao Intermediate School,Hawaii Department of Education,Wailuku,893,465,Yes participating without using any Provision or the CEO,true
Iliahi Elementary School,Hawaii Department of Education,Wahiawa,313,166,Yes participating without using any Provision or the CEO,false
Ilima Intermediate School,Hawaii Department of Education,Ewa Beach,725,437,Yes participating without using any Provision or the CEO,true
Innovations - PCS,Hawaii Department of Education,Kailua-Kona,241,103,No,true
Iroquois Point Elementary School,Hawaii Department of Education,Ewa Beach,561,365,Yes participating without using any Provision or the CEO,false
James Campbell High School,Hawaii Department of Education,Ewa Beach,2890,963,Yes participating without using any Provision or the CEO,false
Ka Umeke Kaeo - PCS,Hawaii Department of Education,Hilo,292,197,Yes under Community Eligibility Option (CEO),true
Ka Waihona O Ka Naauao - PCS,Hawaii Department of Education,Waianae,707,436,Yes under Community Eligibility Option (CEO),true
Ka'Ohao Public Charter School,Hawaii Department of Education,Kailua,332,17,Yes participating without using any Provision or the CEO,false
Kaaawa Elementary School,Hawaii Department of Education,Kaaawa,129,52,Yes under Community Eligibility Option (CEO),false
Kaala Elementary School,Hawaii Department of Education,Wahiawa,381,274,Yes under Community Eligibility Option (CEO),false
Kaelepulu Elementary School,Hawaii Department of Education,Kailua,188,30,Yes participating without using any Provision or the CEO,false
Kaewai Elementary School,Hawaii Department of Education,Honolulu,257,208,Yes under Community Eligibility Option (CEO),false
Kahakai Elementary School,Hawaii Department of Education,Kailua-Kona,507,286,Yes under Community Eligibility Option (CEO),false
Kahala Elementary School,Hawaii Department of Education,Honolulu,273,65,Yes participating without using any Provision or the CEO,false
Kahaluu Elementary School,Hawaii Department of Education,Kaneohe,249,182,Yes under Community Eligibility Option (CEO),false
Kahuku Elementary School,Hawaii Department of Education,Kahuku,339,217,Yes participating without using any Provision or the CEO,false
Kahuku High & Intermediate School,Hawaii Department of Education,Kahuku,1433,719,Yes participating without using any Provision or the CEO,true
Kahului Elementary School,Hawaii Department of Education,Kahului,795,474,Yes participating without using any Provision or the CEO,false
Kailua Elementary School,Hawaii Department of Education,Kailua,267,135,Yes participating without using any Provision or the CEO,false
Kailua High School,Hawaii Department of Education,Kailua,795,381,Yes participating without using any Provision or the CEO,true
Kailua Intermediate School,Hawaii Department of Education,Kailua,749,161,Yes participating without using any Provision or the CEO,false
Kaimiloa Elementary School,Hawaii Department of Education,Ewa Beach,677,378,Yes participating without using any Provision or the CEO,false
Kaimuki High School,Hawaii Department of Education,Honolulu,520,325,Yes under Community Eligibility Option (CEO),true
Kaimuki Middle School,Hawaii Department of Education,Honolulu,1019,243,Yes participating without using any Provision or the CEO,false
Kainalu Elementary School,Hawaii Department of Education,Kailua,559,95,Yes participating without using any Provision or the CEO,false
Kalaheo Elementary School,Hawaii Department of Education,Kalaheo,371,139,Yes participating without using any Provision or the CEO,false
Kalaheo High School,Hawaii Department of Education,Kailua,874,127,Yes participating without using any Provision or the CEO,false
Kalani High School,Hawaii Department of Education,Honolulu,1455,270,Yes participating without using any Provision or the CEO,false
Kaleiopuu Elementary School,Hawaii Department of Education,Waipahu,727,348,Yes participating without using any Provision or the CEO,false
Kalihi Elementary School,Hawaii Department of Education,Honolulu,183,138,Yes under Community Eligibility Option (CEO),false
Kalihi Kai Elementary School,Hawaii Department of Education,Honolulu,533,345,Yes participating without using any Provision or the CEO,false
Kalihi Uka Elementary School,Hawaii Department of Education,Honolulu,249,172,Yes participating without using any Provision or the CEO,false
Kalihi Waena Elementary School,Hawaii Department of Education,Honolulu,432,282,Yes under Community Eligibility Option (CEO),false
Kamaile Academy PCS,Hawaii Department of Education,Waianae,919,819,Yes under Community Eligibility Option (CEO),true
Kamalani Academy,Hawaii Department of Education,Wahiawa,110,45,Yes participating without using any Provision or the CEO,true
Kamalii Elementary School,Hawaii Department of Education,Kihei,342,108,Yes participating without using any Provision or the CEO,false
Kamiloiki Elementary School,Hawaii Department of Education,Honolulu,370,64,Yes participating without using any Provision or the CEO,false
Kaneohe Elementary School,Hawaii Department of Education,Kaneohe,546,193,Yes participating without using any Provision or the CEO,false
Kanoelani Elementary School,Hawaii Department of Education,Waipahu,735,273,Yes participating without using any Provision or the CEO,false
Kanu O Ka Aina - New Century PCS,Hawaii Department of Education,Kamuela,696,394,No,true
Kanuikapono - PCS,Hawaii Department of Education,Anahola,191,135,No,true
Kapaa Elementary School,Hawaii Department of Education,Kapaa,844,474,Yes under Community Eligibility Option (CEO),false
Kapaa High School,Hawaii Department of Education,Kapaa,1005,318,Yes participating without using any Provision or the CEO,false
Kapaa Middle School,Hawaii Department of Education,Kapaa,507,249,Yes participating without using any Provision or the CEO,true
Kapalama Elementary School,Hawaii Department of Education,Honolulu,476,268,Yes participating without using any Provision or the CEO,false
Kapolei Charter School by Goodwill Hawaii,Hawaii Department of Education,Kapolei,138,34,No,false
Kapolei Elementary School,Hawaii Department of Education,Kapolei,673,296,Yes participating without using any Provision or the CEO,false
Kapolei High School,Hawaii Department of Education,Kapolei,1836,645,Yes participating without using any Provision or the CEO,false
Kapolei Middle School,Hawaii Department of Education,Kapolei,727,288,Yes participating without using any Provision or the CEO,false
Kapunahala Elementary School,Hawaii Department of Education,Kaneohe,435,196,Yes participating without using any Provision or the CEO,false
Kau High & Pahala Elementary School,Hawaii Department of Education,Pahala,488,327,Yes under Community Eligibility Option (CEO),true
Kauai High School,Hawaii Department of Education,Lihue,1016,410,Yes participating without using any Provision or the CEO,false
Kauluwela Elementary School,Hawaii Department of Education,Honolulu,383,340,Yes under Community Eligibility Option (CEO),false
Kaumana Elementary School,Hawaii Department of Education,Hilo,238,123,Yes participating without using any Provision or the CEO,false
Kaunakakai Elementary School,Hawaii Department of Education,Kaunakakai,282,221,Yes under Community Eligibility Option (CEO),false
Kawaikini - Ncpcs,Hawaii Department of Education,Lihue,177,116,No,true
Ke Ana Laahana - PCS,Hawaii Department of Education,Hilo,33,17,Yes under Community Eligibility Option (CEO),true
Ke Kula Niihau O Kekaha Learning Center,Hawaii Department of Education,Kekaha,43,28,Yes under Community Eligibility Option (CEO),true
Ke Kula O Ehunuikaimalino,Hawaii Department of Education,Kealakekua,275,174,Yes under Community Eligibility Option (CEO),true
Ke Kula O Nawahiokalaniopuu Iki - Laboratory PCS,Hawaii Department of Education,Keaau,451,247,Yes under Community Eligibility Option (CEO),true
Ke Kula O Samuel M Kamakau - a Laboratory PCS,Hawaii Department of Education,Kaneohe,148,62,No,false
