school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Currier Memorial Union School,Taconic and Green Regional School District #63,Danby,70,49,Yes under Community Eligibility Option (CEO)
Danville School,Danville School District,Danville,329,164,Yes under Community Eligibility Option (CEO)
Derby Elementary School,Derby School District,Derby Line,485,311,Yes under Community Eligibility Option (CEO)
Dorset Elementary School,Taconic and Green Regional School District #63,Dorset,187,65,Yes under Community Eligibility Option (CEO)
Dothan Brook School,Hartford School District,White River Junction,248,104,Yes under Community Eligibility Option (CEO)
Doty Memorial School,Washington Central Unified Union School District #92,Worcester,61,40,Yes under Community Eligibility Option (CEO)
Dover Elementary School,River Valleys Unified School District #73,East Dover,80,44,Yes under Community Eligibility Option (CEO)
Dummerston Schools,Windham Southeast Unified Union School District #96,East Dummerston,171,59,Yes under Community Eligibility Option (CEO)
East Montpelier Elementary School,Washington Central Unified Union School District #92,East Montpelier,202,72,Yes under Community Eligibility Option (CEO)
Eden Central School,Lamoille North Modified Union School District #058A,Eden,114,80,Yes under Community Eligibility Option (CEO)
Edmunds Elementary School,Burlington School District,Burlington,279,166,Yes under Community Eligibility Option (CEO)
Edmunds Middle School,Burlington School District,Burlington,356,216,Yes under Community Eligibility Option (CEO)
Elm Hill School,Springfield School District,Springfield,343,232,Yes under Community Eligibility Option (CEO)
Elmore School,Elmore-Morristown Unified Union School District #90,Lake Elmore,15,7,Yes under Community Eligibility Option (CEO)
Enosburg Falls Elementary School,Enosburgh-Richford Unified Union School District #88,Enosburg Falls,260,165,Yes under Community Eligibility Option (CEO)
Enosburg Falls Middle/High School,Enosburgh-Richford Unified Union School District #88,Enosburg Falls,436,252,Yes under Community Eligibility Option (CEO)
Essex Elementary School,Essex Westford Educational Community Unified Union SD #51,Essex Junction,484,102,Yes under Community Eligibility Option (CEO)
Essex High School,Essex Westford Educational Community Unified Union SD #51,Essex Junction,1224,332,Yes under Community Eligibility Option (CEO)
Essex Middle School,Essex Westford Educational Community Unified Union SD #51,Essex Junction,366,110,Yes under Community Eligibility Option (CEO)
Fair Haven Grade School,Slate Valley Unified Union School District #62,Fair Haven,248,139,Yes under Community Eligibility Option (CEO)
Fair Haven Union Middle and High School,Slate Valley Unified Union School District #62,Fair Haven,499,268,Yes under Community Eligibility Option (CEO)
Fairfield Center School,Maple Run Unified Union School District #57,Fairfield,249,98,Yes under Community Eligibility Option (CEO)
Fayston Elementary School,Harwood Unified Union School District #60,Fayston,123,26,Yes under Provision 2
Ferrisburgh Central School,Addison Northwest Unified Union School District #54,Ferrisburgh,187,63,Yes under Community Eligibility Option (CEO)
First Branch Elementary School,First Branch Unified School District #82,Tunbridge,141,62,Yes under Community Eligibility Option (CEO)
First Branch Middle School,First Branch Unified School District #82,Chelsea,89,43,Yes under Community Eligibility Option (CEO)
Fisher School,Arlington School District,Arlington,205,162,Yes under Community Eligibility Option (CEO)
Fletcher Elementary School,Fletcher School District,Cambridge,112,73,Yes under Provision 2
Flood Brook School,Taconic and Green Regional School District #63,Londonderry,287,128,Yes under Community Eligibility Option (CEO)
Folsom Education & Community Center,South Hero School District,South Hero,164,45,Yes under Community Eligibility Option (CEO)
Founders Memorial School,Essex Westford Educational Community Unified Union SD #51,Essex Junction,353,85,Yes under Community Eligibility Option (CEO)
Franklin Central School,Missisquoi Valley School District #89,Franklin,143,93,Yes under Community Eligibility Option (CEO)
Frederick H. Tuttle Middle School,South Burlington School District,South Burlington,565,169,Yes under Community Eligibility Option (CEO)
Georgia Elementary & Middle School,Georgia School District,Saint Albans,584,271,Yes under Community Eligibility Option (CEO)
Glover Community School,Lake Region Union Elementary Middle School District,Glover,78,40,Yes under Community Eligibility Option (CEO)
Grafton Elementary School,Athens Grafton School District,Grafton,39,21,Yes under Community Eligibility Option (CEO)
Grand Isle School,Champlain Islands Unified Union School District #66,Grand Isle,151,65,Yes under Community Eligibility Option (CEO)
