school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Barry Hahn Primary School,Meade County,Brandenburg,807,340,Yes under Community Eligibility Option (CEO),false
Bartlett Educational Center,Erlanger-Elsmere Independent,Erlanger,58,53,Yes under Community Eligibility Option (CEO),true
Bates Elementary,Jefferson County,Louisville,585,278,Yes under Community Eligibility Option (CEO),false
Bath County High School,Bath County,Owingsville,604,442,Yes under Community Eligibility Option (CEO),true
Bath County Middle School,Bath County,Owingsville,391,291,Yes under Community Eligibility Option (CEO),true
Bavel,Barren County,Glasgow,227,49,Yes under Community Eligibility Option (CEO),false
Beacon Academy,Warren County,Bowling Green,137,77,Yes under Community Eligibility Option (CEO),false
Beaumont Middle School,Fayette County,Lexington,743,252,Yes participating without using any Provision or the CEO,true
Beaver Creek Elementary School,Knott County,Topmost,183,152,Yes under Community Eligibility Option (CEO),true
Beaver Dam Elementary School,Ohio County,Beaver Dam,601,399,Yes under Community Eligibility Option (CEO),false
Bedford Elementary School,Trimble County,Bedford,421,242,Yes under Community Eligibility Option (CEO),false
Beechgrove Elementary School,Kenton County,Independence,645,413,Yes under Community Eligibility Option (CEO),false
Beechwood Elementary School,Beechwood Independent,Fort Mitchell,780,62,No,false
Beechwood High School,Beechwood Independent,Fort Mitchell,762,46,No,false
Belfry Elementary,Pike County,Belfry,589,406,Yes under Community Eligibility Option (CEO),false
Belfry High School,Pike County,Belfry,463,269,Yes under Community Eligibility Option (CEO),true
Belfry Middle School,Pike County,Belfry,344,222,Yes under Community Eligibility Option (CEO),true
Bell Central School Center,Bell County,Pineville,502,388,Yes under Community Eligibility Option (CEO),true
Bell County High School,Bell County,Pineville,622,453,Yes under Community Eligibility Option (CEO),true
Bell Elementary School,Wayne County,Monticello,432,362,Yes under Community Eligibility Option (CEO),false
Bellevue High School,Bellevue Independent,Bellevue,300,191,Yes under Community Eligibility Option (CEO),true
Bellevue Transitional School,Madison County,Richmond,11,9,Yes under Community Eligibility Option (CEO),false
Bellewood,Jefferson County,Louisville,7,,Yes participating without using any Provision or the CEO,false
Ben Johnson Elementary School,Breckinridge County,Mc Daniels,232,153,Yes under Community Eligibility Option (CEO),false
Bend Gate Elementary School,Henderson County,Henderson,421,251,Yes under Community Eligibility Option (CEO),false
Benton Elementary School,Marshall County,Benton,528,329,Yes under Community Eligibility Option (CEO),false
Berea Community Elementary School,Berea Independent,Berea,448,309,Yes under Community Eligibility Option (CEO),false
Berea Community High School,Berea Independent,Berea,309,159,Yes under Community Eligibility Option (CEO),true
Berea Community Middle School,Berea Independent,Berea,214,141,Yes under Community Eligibility Option (CEO),true
Bernheim Middle School,Bullitt County,Shepherdsville,371,198,Yes under Community Eligibility Option (CEO),true
